oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Fordham Rams,Manhattan Jaspers,DraftKings,73.5,61.5,NCAAB,-800.0,550.0,12.0,-108.0,-112.0,135.0,-110.0,-110.0,FOR,MAN,72.08072855918367,64.16836889815302,Fordham Rams,Manhattan Jaspers,21.847196616499797,12.103718436910205,2024.0,0.42893899999999996,0.555111,0.513656,0.47020300000000004,0.6265905,0.37340949999999995,0.30694699999999997,0.115376,0.19780599999999998,0.347931,0.402041,0.20677500000000001,0.10483699999999999,0.254931,0.0,0.174215,0.0,0.0,0.08619099999999999,0.084503,-0.18780688000000012,0.0,0.05683532000000008,0.002884154999555718,-0.021322399999999964,0.0,-0.11257369999999989,0.0,-2.3606854999999998,0.0,0.2594839545454545,0.3703255746660112,0.048345134328358186,0.006263835395448353,-0.1095480229885058,0.0,-0.21470758208955218,0.0,0.09809613409961684,0.025115642481006933,-0.11792334782608704,0.0,0.026382749342681838,0.007941924371446868,-0.4829858695652174,0.0,0.18963135056967573,0.4103041604464124
Saint Mary's Gaels,Utah Utes,DraftKings,69.75,64.25,NCAAB,-218.0,180.0,5.5,-112.0,-108.0,134.0,-105.0,-115.0,SMC,UTAH,69.5242928832763,68.29004759651144,Saint Mary's Gaels,Utah Utes,26.675206965770048,21.09186256987909,2024.0,0.456277,0.543704,0.5519040000000001,0.436136,0.5222815,0.47771850000000005,0.285616,0.165351,0.266288,0.270785,0.318308,0.19198199999999999,0.22719499999999998,0.238614,0.0,0.059887,0.0,0.0,0.032692,0.026631000000000002,-0.15269275999999993,0.0,0.05090431999999995,0.002399305365428146,0.08140320000000012,0.006310934257371454,-0.21230759999999987,0.0,-0.51914483,0.0,0.1875621111111112,0.06332318194402228,0.021029333333333344,0.0011940287232000012,0.00045031884057972205,5.596922805797007e-07,-0.16325096850393697,0.0,-0.009682307692307657,0.0,-0.05017416216216214,0.0,0.05430797539149887,0.013183622174322692,-0.27508042774566477,0.0,0.0586173096926714,0.0145342334514157
Philadelphia 76ers,Los Angeles Lakers,DraftKings,118.25,113.25,NBA,-205.0,170.0,5.0,-112.0,-108.0,231.5,-110.0,-110.0,PHI,LAL,108.81923406685178,114.60851799003436,Philadelphia 76ers,Los Angeles Lakers,16.60457797729053,16.844938729016313,2024.0,0.31691199999999997,0.6675800000000001,0.37524199999999996,0.6247170000000001,0.40524150000000003,0.5947585,0.11688099999999998,0.200031,0.25285599999999997,0.4147240000000001,0.14588,0.250948,0.22311100000000003,0.36319300000000004,0.0,0.064449,0.0,0.0,0.023494,0.040955,-0.44814655999999997,0.0,0.30856640000000013,0.08816039186014822,-0.31199180000000015,0.0,0.21190570000000014,0.04082184153862733,-0.814013425,0.0,0.3563811470588235,0.21591278736423677,-0.22147877011494257,0.0,-0.025929074626865722,0.0,-0.10647053256704983,0.0,0.19633743283582103,0.10330967858726225,-0.318315652173913,0.0,0.03590883132530126,0.005351193293668093,-0.15614547826086955,0.0,0.209745530120482,0.18257172773291638
Fresno State Bulldogs,UC Santa Barbara Gauchos,DraftKings,72.25,70.25,NCAAB,-130.0,110.0,2.0,-110.0,-110.0,142.5,-110.0,-110.0,FRES,UCSB,72.54659964619931,73.60123580880798,Fresno State Bulldogs,UC Santa Barbara Gauchos,11.59597631364719,15.458007633585902,2024.0,0.426974,0.5524589999999999,0.57484,0.424948,0.4781504999999999,0.5218495000000001,0.201753,0.225221,0.36190900000000004,0.19055000000000002,0.224755,0.24307299999999998,0.33850399999999997,0.172811,0.0,0.020498999999999996,0.0,0.0,0.011824000000000001,0.008674999999999999,-0.2033546,0.0,0.060163899999999826,0.003290631693827255,0.10716400000000004,0.010440111723636377,-0.20760920000000005,0.0,-0.20025385000000018,0.0,0.08716722727272747,0.00835793806145685,-0.1006132878787879,0.0,0.12020786363636371,0.03814781646724914,-0.06825589393939391,0.0,-0.11605984848484843,0.0,-0.10097819327731092,0.0,0.1187378870431893,0.04243704431663836,-0.07496355462184878,0.0,-0.10200262126245846,0.0
Eastern Kentucky Colonels,Troy Trojans,DraftKings,77.75,72.75,NCAAB,-218.0,180.0,5.0,-110.0,-110.0,150.5,-110.0,-110.0,EKU,TROY,73.10228787772189,71.86808403382094,Eastern Kentucky Colonels,Troy Trojans,37.16472341706133,14.436643192469177,2024.0,0.477919,0.5111939999999999,0.464258,0.5356009999999999,0.5372374999999999,0.4627625000000001,0.344619,0.1333,0.11462299999999999,0.396571,0.36832200000000004,0.16349,0.091637,0.365559,0.0,0.043147000000000005,0.0,0.0,0.018687,0.02446,-0.09637010000000001,0.0,-0.0264926000000002,0.0,-0.12505819999999995,0.0,0.024762099999999787,0.0005574196330999884,-0.4715847500000002,0.0,0.16429722222222237,0.04858843901388895,0.09636862121212122,0.024517445447418806,-0.22074707575757574,0.0,-0.19499545454545456,0.0,0.1679994090909091,0.07451083584092183,0.01344671910112366,0.0003218493731604534,-0.11718208045977013,0.0,-0.3064594382022472,0.0,0.21971049425287356,0.20998625058906267
Elon Phoenix,Presbyterian Blue Hose,DraftKings,74.75,71.25,NCAAB,-166.0,140.0,3.5,-110.0,-110.0,146.0,-110.0,-110.0,ELON,PRES,71.65659656741126,73.59091329103934,Elon Phoenix,Presbyterian Blue Hose,11.190131706957144,16.294170736800325,2024.0,0.391586,0.6081479999999999,0.474722,0.50484,0.46090000000000003,0.5390999999999999,0.12983,0.25389700000000004,0.344892,0.250943,0.156293,0.285815,0.309359,0.208763,0.0,0.059257000000000004,0.0,0.0,0.026463000000000004,0.031918,-0.27766940000000007,0.0,0.1771107999999998,0.028516577706036304,-0.10308380000000006,0.0,-0.039836000000000094,0.0,-0.4340059999999997,0.0,0.20988571428571412,0.061672818285714165,-0.19977984848484848,0.0,0.09674503030303028,0.02470934634520242,-0.02871777272727266,0.0,-0.032790712121212096,0.0,-0.25327350485436895,0.0,0.11644251955307261,0.04854072008832635,-0.06087674757281558,0.0,-0.012252921787709481,0.0
Utah Jazz,New Orleans Pelicans,DraftKings,112.25,117.75,NBA,164.0,-198.0,-5.5,-112.0,-108.0,230.0,-110.0,-110.0,UTAH,NO,111.38975725871798,118.55167696677228,Utah Jazz,New Orleans Pelicans,18.34762366405108,16.154007576583396,2024.0,0.479609,0.520401,0.501935,0.48154699999999995,0.3900605,0.6099395000000001,0.257611,0.214299,0.244324,0.267248,0.208715,0.16721,0.28521399999999997,0.306781,0.08151699999999999,0.0,0.04089,0.039533,0.0,0.0,-0.10322892,0.0,0.002434080000000005,5.485875413333396e-06,-0.045936499999999936,0.0,-0.08875130000000009,0.0,0.018146170731707212,0.0005400249600477965,-0.16238028999999976,0.0,-0.026829229885057482,0.0,-0.037644656716417896,0.0,-0.08673586590038315,0.0,-0.0061669253731343465,0.0,0.01285237623762378,0.000667341642811883,-0.09702450267379681,0.0,-0.038926138613861405,0.0,-0.06392434759358284,0.0
