MSST,MISS,probability
49,28,0.00029185
34,37,0.000291346
70,24,0.000290791
21,44,0.000290613
63,35,0.000289489
42,42,0.000288483
7,53,0.000288377
66,48,0.000288261
13,26,0.00028786
23,42,0.000286569
42,52,0.000286337
41,49,0.000285582
14,26,0.000285575
23,52,0.000284437
70,27,0.000284313
81,48,0.000283419
38,56,0.000282726
6,70,0.000282524
24,40,0.000282365
12,38,0.000281925
12,31,0.000280029
52,30,0.000279521
62,34,0.000279058
20,63,0.000279008
55,35,0.000278462
31,44,0.000277186
62,45,0.000276989
73,48,0.000275269
49,42,0.000275118
59,30,0.000274804
37,34,0.00027353
49,52,0.000273071
27,44,0.00027292
28,37,0.000272032
37,45,0.000271502
56,28,0.000271262
35,49,0.000269856
77,28,0.000269716
45,20,0.000268624
16,49,0.000268618
52,59,0.000268251
69,34,0.000267024
13,29,0.000266202
13,73,0.000265428
69,45,0.000265043
17,70,0.000264543
45,21,0.0002642
14,29,0.000264088
9,48,0.00026399
38,55,0.000263859
59,59,0.000263724
14,73,0.000263321
70,41,0.000262317
48,48,0.000261952
30,28,0.000259255
13,51,0.000258284
34,20,0.000258245
6,43,0.000258212
3,19,0.00025713
14,51,0.000256233
56,42,0.00025571
77,42,0.000254252
34,21,0.000253992
56,52,0.000253808
20,40,0.000253096
77,52,0.000252361
10,53,0.000251378
41,30,0.000251268
24,32,0.000251032
21,17,0.000250707
66,49,0.000250324
42,48,0.000249461
45,56,0.000248609
19,38,0.000247929
23,48,0.000247806
63,28,0.000247403
6,69,0.000247095
19,31,0.000246262
81,49,0.000246119
62,24,0.000245453
44,38,0.000245255
52,37,0.000244613
30,42,0.000244392
44,31,0.000243606
70,35,0.000242751
30,52,0.000242574
17,43,0.000241778
41,59,0.000241137
28,20,0.000241125
37,24,0.000240591
59,37,0.000240485
62,27,0.000239985
21,33,0.000239727
31,17,0.000239123
73,49,0.000239041
34,56,0.000239003
7,14,0.000238895
55,28,0.00023798
49,48,0.000237904
35,30,0.000237432
28,21,0.000237154
24,62,0.000236925
7,65,0.000236792
16,30,0.000236342
27,17,0.000235443
21,66,0.00023531
37,27,0.000235231
69,24,0.000234868
63,42,0.000233219
21,23,0.000232095
45,55,0.000232019
63,52,0.000231484
17,69,0.000231368
13,36,0.000230368
69,27,0.000229636
9,49,0.000229247
31,33,0.00022865
14,36,0.000228539
35,59,0.000227859
48,49,0.000227477
6,47,0.000226891
16,59,0.000226813
6,25,0.000225307
38,44,0.000225221
27,33,0.000225132
20,32,0.000225011
31,66,0.000224438
55,42,0.000224336
3,16,0.000223911
28,56,0.000223159
34,55,0.000223054
55,52,0.000222667
12,34,0.000222401
62,41,0.000221419
31,23,0.000221371
56,48,0.000221121
27,66,0.000220984
12,45,0.000220751
26,38,0.000220432
66,30,0.000220246
41,37,0.000219888
77,48,0.000219861
26,31,0.00021895
27,23,0.000217964
37,41,0.000217033
52,20,0.000216822
42,49,0.00021663
81,30,0.000216546
24,39,0.000216382
23,49,0.000215193
52,21,0.000213251
59,20,0.000213163
17,47,0.000212451
20,62,0.000212366
69,41,0.00021187
66,59,0.000211366
30,48,0.000211334
24,26,0.000210969
17,25,0.000210967
73,30,0.000210319
59,21,0.000209652
28,55,0.000208267
10,14,0.000208244
13,70,0.000207952
81,59,0.000207815
35,37,0.00020778
70,28,0.00020746
33,38,0.000206843
16,37,0.000206826
49,49,0.000206594
6,77,0.000206485
10,65,0.000206411
14,70,0.000206301
21,63,0.000206124
33,31,0.000205452
62,35,0.000204903
7,19,0.00020208
73,59,0.000201839
9,30,0.000201702
63,48,0.000201673
37,35,0.000200844
52,56,0.000200667
48,30,0.000200145
45,44,0.000198043
59,56,0.00019728
31,63,0.0001966
69,35,0.000196067
12,24,0.000195618
19,34,0.000195583
70,42,0.000195566
24,29,0.000195096
41,20,0.000194906
24,73,0.000194528
38,17,0.000194294
19,45,0.000194132
70,52,0.000194111
55,48,0.000193991
20,39,0.000193953
27,63,0.000193574
9,59,0.000193569
44,34,0.000193473
17,77,0.000193343
66,37,0.000192741
48,59,0.000192075
44,45,0.000192038
56,49,0.00019202
41,21,0.000191696
12,27,0.000191261
77,49,0.000190926
42,30,0.000190601
34,44,0.000190391
13,43,0.000190057
81,37,0.000189503
6,81,0.000189355
23,30,0.000189337
24,51,0.000189292
20,26,0.0001891
3,60,0.000188854
14,43,0.000188548
22,38,0.000188429
52,55,0.000187276
22,31,0.000187162
21,40,0.00018698
38,33,0.000185785
35,20,0.000184173
59,55,0.000184115
73,37,0.000184054
30,49,0.000183521
16,20,0.000183328
42,59,0.000182916
38,66,0.000182362
13,69,0.000181874
49,30,0.000181771
23,59,0.000181703
35,21,0.00018114
14,69,0.00018043
41,56,0.000180384
16,21,0.000180309
38,23,0.00017987
31,40,0.000178341
28,44,0.000177769
17,81,0.000177303
9,37,0.000176512
12,41,0.000176464
10,19,0.000176152
7,16,0.000175973
27,40,0.000175596
48,37,0.00017515
63,49,0.000175131
62,28,0.000175115
20,29,0.000174873
49,59,0.000174442
20,73,0.000174364
26,34,0.000173892
26,45,0.000172602
19,24,0.00017203
37,28,0.000171646
45,17,0.000170848
66,20,0.000170843
35,56,0.000170451
44,24,0.000170174
20,51,0.000169671
16,56,0.000169668
70,48,0.000169113
56,30,0.000168948
24,36,0.000168833
55,49,0.00016846
41,55,0.000168346
19,27,0.000168198
66,21,0.000168029
77,30,0.000167985
81,20,0.000167973
69,28,0.000167563
13,47,0.000167004
42,37,0.000166798
44,27,0.000166383
21,32,0.000166232
6,54,0.000166092
13,25,0.000165838
23,37,0.000165691
14,47,0.000165678
81,21,0.000165207
62,42,0.000165075
14,25,0.000164521
34,17,0.000164247
62,52,0.000163847
45,33,0.000163366
12,35,0.000163301
33,34,0.000163172
73,20,0.000163142
56,59,0.000162136
33,45,0.000161961
37,42,0.000161805
30,30,0.00016147
77,59,0.000161212
37,52,0.000160601
73,21,0.000160456
45,66,0.000160356
52,44,0.000159852
18,38,0.000159765
38,63,0.000159743
6,22,0.00015966
35,55,0.000159076
49,37,0.00015907
18,31,0.000158691
31,32,0.000158551
16,55,0.000158346
45,23,0.000158165
66,56,0.000158113
6,50,0.000158086
69,42,0.000157956
59,44,0.000157154
34,33,0.000157054
21,62,0.00015689
69,52,0.000156781
9,20,0.000156458
27,32,0.000156111
17,54,0.000155521
81,56,0.000155457
48,20,0.00015525
19,41,0.000155185
30,59,0.00015496
34,66,0.00015416
63,30,0.000154088
11,38,0.000154079
9,21,0.000153881
44,41,0.000153511
10,16,0.000153395
28,17,0.000153358
11,31,0.000153043
26,24,0.000152951
48,21,0.000152693
24,70,0.000152405
34,23,0.000152054
13,77,0.000151983
20,36,0.000151333
73,56,0.000150987
14,77,0.000150777
32,38,0.000150497
6,46,0.000150056
31,62,0.000149641
26,27,0.000149544
17,22,0.000149499
32,31,0.000149485
6,58,0.000148666
22,34,0.000148645
3,13,0.000148576
7,60,0.000148421
55,30,0.000148219
17,50,0.000148025
63,59,0.000147875
56,37,0.000147849
42,20,0.000147847
66,55,0.000147562
25,38,0.00014756
22,45,0.000147543
27,62,0.000147338
77,37,0.000147006
23,20,0.000146867
70,49,0.000146856
28,33,0.000146642
25,31,0.000146568
40,38,0.000145925
42,21,0.000145412
81,55,0.000145083
40,31,0.000144944
38,40,0.000144907
9,56,0.0001448
29,38,0.000144757
23,21,0.000144448
28,66,0.00014394
29,31,0.000143784
41,44,0.000143694
48,56,0.000143683
19,35,0.00014361
33,24,0.000143522
21,39,0.000143287
62,48,0.000142746
55,59,0.000142243
44,35,0.000142061
28,23,0.000141974
30,37,0.000141305
51,38,0.000141163
49,20,0.000140998
73,55,0.000140911
17,46,0.000140506
45,63,0.000140466
33,27,0.000140325
51,31,0.000140214
37,48,0.000139918
21,26,0.000139702
12,28,0.000139561
13,81,0.000139375
24,43,0.00013929
17,58,0.000139204
49,21,0.000138676
14,81,0.000138268
26,41,0.000137974
52,17,0.000137901
42,56,0.000136831
31,39,0.000136667
20,70,0.000136608
69,48,0.00013659
23,56,0.000135924
35,44,0.000135782
59,17,0.000135574
16,44,0.000135159
9,55,0.000135137
34,63,0.000135039
63,37,0.000134845
27,39,0.000134563
48,55,0.000134094
15,38,0.000133767
24,69,0.000133293
31,26,0.000133247
3,76,0.000133113
15,31,0.000132868
52,33,0.000131862
12,42,0.000131559
27,26,0.000131197
56,20,0.000131051
22,24,0.000130745
12,52,0.000130581
49,56,0.000130492
77,20,0.000130304
55,37,0.000129709
59,33,0.000129636
33,41,0.000129469
52,66,0.000129432
10,60,0.000129378
70,30,0.000129211
21,29,0.000129191
56,21,0.000128893
38,32,0.000128827
21,73,0.000128816
77,21,0.000128158
22,27,0.000127832
42,55,0.0001277
26,35,0.000127683
52,23,0.000127664
45,40,0.000127421
