homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LAS,La Salle Explorers,0.5138888888888888,71.30132187374953,72.28850697577059,-0.9871851020210585,0.9546455086968147,0.9670629752285861,250.0,175.0,175.0,189.0,-0.3080568278166599,185.0
CLEV,Cleveland State Vikings,0.5166666666666667,73.65941676595725,74.44127533597909,-0.7818585700218392,0.9490278620531518,0.957153924421113,274.0,172.5,171.0,195.0,-0.30990398038476696,186.0
UNH,New Hampshire Wildcats,0.4166666666666667,74.39207161245245,78.49979473357969,-4.107723121127236,1.0408893309743266,0.9730562032457107,229.0,227.0,221.0,135.0,-0.5031491876600728,187.0
SPU,Saint Peter's Peacocks,0.48055555555555557,60.35367412845043,63.42884657945617,-3.0751724510057414,0.97383933322875,0.9648579958939233,255.0,199.5,210.0,176.0,-0.5347192495360527,188.0
TEM,Temple Owls,0.475,71.57440921435175,73.53856071072873,-1.964151496376985,0.9514227675437416,1.0016765122254323,158.0,201.0,189.0,194.0,-0.5829564269753419,189.0
UTC,Chattanooga Mocs,0.49722222222222223,73.70980639511669,75.58591027956231,-1.8761038844456266,0.9319043336964632,0.9471086631137188,292.0,185.5,187.0,208.0,-0.5976495276153766,190.0
TROY,Troy Trojans,0.5027777777777778,72.47692182229486,74.01176920640947,-1.534847384114613,0.9215399098506178,0.9319163593803604,317.0,182.0,184.0,219.0,-0.6029014937285955,191.0
MUR,Murray State Racers,0.46944444444444444,70.40640585425712,72.41161166516366,-2.0052058109065456,0.9525320408300932,0.9941677569077553,177.0,203.0,191.0,191.0,-0.6034220889892896,192.0
WIU,Western Illinois Leathernecks,0.49722222222222223,66.70571025281326,68.68274982718539,-1.977039574372128,0.9284133547076706,0.9502070400301345,287.0,185.5,190.0,212.0,-0.6280523818451759,193.0
UTA,UT Arlington Mavericks,0.4888888888888889,72.77154494886727,75.4962493900093,-2.7247044411420234,0.9388452920239668,1.045437154048359,76.0,193.0,202.0,203.0,-0.6732146594166215,194.0
LMU,Loyola Marymount Lions,0.5,69.13160537587636,70.4355244596183,-1.3039190837419454,0.902112758660988,0.9907707795405526,187.0,184.0,180.0,234.0,-0.7070026505245399,195.0
ILST,Illinois State Redbirds,0.49444444444444446,67.94987399143915,70.0291587076049,-2.079284716165759,0.9171816386951313,0.9947341579455623,174.0,187.0,193.0,220.0,-0.7158903072574332,196.0
OHIO,Ohio Bobcats,0.5111111111111111,74.88514635053852,76.00177325166158,-1.1166269011230554,0.884546378133832,0.9346819030748716,311.0,176.5,178.0,250.0,-0.7466729728170357,197.0
ALB,UAlbany Great Danes,0.4861111111111111,74.52957556772775,77.38792338164315,-2.858347813915401,0.9279876231365214,0.9562015660436044,277.0,196.0,205.0,213.0,-0.7618754758794601,198.0
NE,Northeastern Huskies,0.4444444444444444,68.23409073247791,71.95733904098107,-3.723248308503159,0.9690204479903508,0.9890479034407255,190.0,220.5,218.0,180.0,-0.7757382389363147,199.0
SLU,Saint Louis Billikens,0.4388888888888889,72.22763566243012,75.76265798077826,-3.5350223183481404,0.964033572838548,1.043860482836491,78.0,223.5,214.0,181.0,-0.8100943272232959,200.0
IONA,Iona Gaels,0.4888888888888889,70.16834957472813,71.4871172515605,-1.3187676768323797,0.8849342725850875,0.96146169413872,263.0,193.0,181.0,249.0,-0.8561488997770541,201.0
WKU,Western Kentucky Hilltoppers,0.5444444444444444,76.34994435466791,76.36664508131118,-0.01670072664326483,0.8239321848190867,0.926587717794905,324.0,162.0,162.0,311.0,-0.860484964528165,202.0
WYO,Wyoming Cowboys,0.4222222222222222,71.94573400167309,75.3508633370129,-3.405129335339808,0.9639892361179324,1.0353132773005913,94.0,225.5,212.0,182.0,-0.8669734813645578,203.0
QUIN,Quinnipiac Bobcats,0.48333333333333334,74.63973492040114,77.51233116047283,-2.8725962400716867,0.9110502275867456,0.9204481472289741,332.0,198.0,206.0,227.0,-0.8749514663389866,204.0
RICE,Rice Owls,0.5055555555555555,70.89953318438404,72.78781481604939,-1.8882816316653503,0.8792103204295755,1.0287221693373179,104.0,180.0,188.0,259.0,-0.875879293827954,205.0
FGCU,Florida Gulf Coast Eagles,0.45,64.54148324782683,69.0688748692177,-4.527391621390862,0.9598172665971886,1.0150269950527384,129.0,217.0,226.0,185.0,-0.8848404595311063,206.0
ARST,Arkansas State Red Wolves,0.44722222222222224,76.58911121343094,79.64143374357825,-3.0523225301473076,0.9366828244024744,0.9722669660873919,231.0,219.0,209.0,205.0,-0.8906043967464248,207.0
CCSU,Central Connecticut Blue Devils,0.49166666666666664,67.8488424834457,70.42455369926307,-2.5757112158173783,0.8940586054831249,0.9487978869978926,289.0,189.5,200.0,240.0,-0.9121578039865417,208.0
UNCO,Northern Colorado Bears,0.4388888888888889,75.35234425853936,78.83417345246328,-3.4818291939239145,0.945566737038326,0.9845755685958418,201.0,223.5,213.0,200.0,-0.9141677035314115,209.0
STBK,Stony Brook Seawolves,0.4583333333333333,67.3280585235338,71.91053519766905,-4.5824766741352505,0.9482872381694316,1.00913972277278,142.0,208.0,227.0,198.0,-0.923768791270762,210.0
WOF,Wofford Terriers,0.4527777777777778,75.87086374899673,78.71071923462469,-2.8398554856279645,0.923613678359592,0.9920941308361977,179.0,214.0,204.0,217.0,-0.9243016289838477,211.0
LBSU,Long Beach State Beach,0.45555555555555555,76.55014834082249,79.07176741325559,-2.521619072433097,0.9147535185893608,0.9646431530833269,257.0,211.0,199.0,224.0,-0.9344111843893462,212.0
ACU,Abilene Christian Wildcats,0.36666666666666664,74.16224651935335,78.82941300404923,-4.667166484695883,1.0095615785046543,0.9832816387585761,203.0,247.5,228.0,156.0,-0.9500214663613904,213.0
MRMK,Merrimack Warriors,0.4111111111111111,63.88899292784099,68.83790155479069,-4.948908626949702,0.9819768274493352,1.012495377335079,133.0,228.0,235.0,171.0,-0.95593442325273,214.0
VAN,Vanderbilt Commodores,0.4527777777777778,67.88445681641717,70.64599755381087,-2.7615407373937018,0.915241067744788,1.0192682540249403,119.0,214.0,203.0,222.0,-0.9662481500931066,215.0
UTEP,UTEP Miners,0.45,67.04985774318841,69.97272697326977,-2.9228692300813606,0.9054346293194184,0.9699266317476714,241.0,217.0,207.0,230.0,-1.051367988933866,216.0
USD,San Diego Toreros,0.45555555555555555,72.21067555732506,75.7757558944,-3.5650803370749458,0.9101852415436462,0.9589500981869276,265.0,211.0,215.0,229.0,-1.0622928345407021,217.0
CBU,California Baptist Lancers,0.4583333333333333,65.00736917130045,67.65463465988127,-2.647265488580814,0.8739054153536622,0.9025532414345373,348.0,208.0,201.0,267.0,-1.1766085923836165,218.0
SOU,Southern Jaguars,0.4027777777777778,69.65408160611308,75.32828508194348,-5.674203475830396,0.9597827896673472,1.0766106102874777,36.0,232.0,250.0,186.0,-1.1918884698353116,219.0
MSM,Mount St. Mary's Mountaineers,0.4638888888888889,68.48077657098528,71.48346894714925,-3.0026923761639637,0.8718302206001608,0.9001675511353144,349.0,204.5,208.0,270.0,-1.2001806454949697,220.0
LOU,Louisville Cardinals,0.44166666666666665,71.49370737692226,75.06147608943829,-3.5677687125160276,0.8904959251354684,0.9818076775884704,207.0,222.0,216.0,243.0,-1.2366418069855218,221.0
KENN,Kennesaw State Owls,0.4638888888888889,80.24079442450537,83.54133091859465,-3.300536494089286,0.8671908823759815,0.9279402730633022,323.0,204.5,211.0,274.0,-1.2564088357519254,222.0
M-OH,Miami (OH) RedHawks,0.45,70.00975712885568,74.69973642655746,-4.6899792977017825,0.898845715617131,0.9733570354833202,226.0,217.0,230.0,236.0,-1.2611501334617747,223.0
TXST,Texas State Bobcats,0.40555555555555556,64.49547331670078,69.74560424849652,-5.250130931795738,0.936762871258831,1.0247406887130497,109.0,230.0,240.0,204.0,-1.2755101643040514,224.0
UNA,North Alabama Lions,0.40555555555555556,69.52625041388933,74.88178682762364,-5.355536413734313,0.9364444125343606,1.0045341732011628,150.0,230.0,241.0,206.0,-1.2875823984120052,225.0
