homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
SMU,SMU Mustangs,13.0 - 5.0,0.7222222222222222,0.8694444444444445,76.93308562327437,63.081198846943984,13.851886776330382,0.2415856903426942,0.03665662433473731,79.0,48.5,31.0,22.0,4.329853870716897,26.0
INST,Indiana State Sycamores,16.0 - 3.0,0.8421052631578947,0.8277777777777777,84.44480728611929,71.20809609710832,13.236711189010961,0.2730052926496157,0.011058162261426717,119.0,60.0,36.0,10.0,4.31675312714028,27.0
MSST,Mississippi State Bulldogs,13.0 - 5.0,0.7222222222222222,0.9444444444444444,77.31194277807165,64.48409241164732,12.827850366424329,0.2138115000217879,0.060747425440884406,48.0,20.5,39.0,33.0,4.307914093984182,28.0
OU,Oklahoma Sooners,14.0 - 3.0,0.8235294117647058,0.9194444444444444,79.42084961455174,64.9046151401267,14.516234474425048,0.1892448740508398,0.018944737634664165,105.0,30.0,27.0,46.0,4.246508556602689,29.0
TCU,TCU Horned Frogs,13.0 - 5.0,0.7222222222222222,0.9416666666666667,82.49725792824205,67.45929169329372,15.037966234948328,0.1675283147994153,0.011313849986294318,117.0,22.5,21.0,63.0,4.243011731461184,30.0
DRKE,Drake Bulldogs,16.0 - 3.0,0.8421052631578947,0.9305555555555556,78.90641849945315,65.87908132554301,13.02733717391014,0.206908545425075,-0.003055197575885373,142.0,26.5,38.0,36.0,4.237903212854757,31.0
GONZ,Gonzaga Bulldogs,13.0 - 5.0,0.7222222222222222,0.9222222222222223,82.98135481060885,69.20054258460297,13.780812226005878,0.1968832972359315,0.011851097580260334,114.0,29.0,32.0,41.0,4.226112143939346,32.0
USU,Utah State Aggies,17.0 - 2.0,0.8947368421052632,0.9138888888888889,81.96275353788319,67.36995108667426,14.592802451208925,0.178024591543036,0.03430690742983653,84.0,31.0,25.0,55.0,4.165417746649267,33.0
PROV,Providence Friars,12.0 - 6.0,0.6666666666666666,0.9333333333333333,76.44735408019739,64.15009485941007,12.29725922078731,0.1901050986058269,0.06606111455965524,42.0,24.5,43.0,45.0,4.065666186329736,34.0
CIN,Cincinnati Bearcats,13.0 - 5.0,0.7222222222222222,0.9444444444444444,78.90302829488554,64.31951183351795,14.583516461367594,0.1438011423835184,0.0402849892381221,73.0,20.5,26.0,77.0,4.05669746370568,35.0
FLA,Florida Gators,12.0 - 6.0,0.6666666666666666,0.9027777777777778,85.97971302488394,72.94075249718429,13.038960527699643,0.1927108822888057,0.065698079435444,43.0,35.0,37.0,43.0,4.054550546526207,36.0
PRIN,Princeton Tigers,15.0 - 1.0,0.9375,0.8,76.88343599119835,66.57065427539457,10.31278171580378,0.2805140711592221,0.038241034425977774,75.0,73.5,59.0,9.0,3.9588757959987513,37.0
UTAH,Utah Utes,14.0 - 5.0,0.7368421052631579,0.8916666666666667,81.02081628204873,67.31163174362143,13.709184538427294,0.1703591950017596,0.0638119491455279,44.0,38.5,33.0,61.0,3.947506221412748,38.0
CSU,Colorado State Rams,14.0 - 3.0,0.8235294117647058,0.8777777777777778,80.82690441460919,69.36580820535329,11.4610962092559,0.2134942680987102,0.08327887471074323,28.0,45.5,52.0,34.0,3.9311396040490836,39.0
