,oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
12,Middle Tennessee Blue Raiders,Kansas City Roos,DraftKings,65.75,59.25,NCAAB,-285.0,230.0,6.5,-110.0,-110.0,125.0,-110.0,-110.0,MTSU,KC,85.02915639181931,46.92862186611284,Middle Tennessee Blue Raiders,Kansas City Roos,27.86549325394608,16.144142384571975,2024.0,0.83734,0.162477,0.590301,0.39727200000000007,0.8835465,0.11645349999999999,0.5450929999999999,0.281898,0.045208,0.11537399999999999,0.560145,0.309176,0.028038999999999998,0.083582,0.0,0.042891,0.0,0.0,0.015052,0.027278,0.6584139999999999,0.3940990867236363,-0.7587983,0.0,0.13963209999999993,0.017724657591281813,-0.2657287999999999,0.0,0.551654025,0.10677970642059677,-0.2676971521739131,0.0,0.3727797424242424,0.3668669039953751,-0.3164556363636364,0.0,0.00988966666666663,0.00025820653789333103,-0.21971160606060608,0.0,0.28175575949367093,0.12543036665241142,-0.1553498679245283,0.0,-0.12805437974683542,0.0,-0.08932705660377359,0.0
13,Kent State Golden Flashes,Charleston Cougars,DraftKings,77.5,71.0,NCAAB,-290.0,235.0,6.5,-112.0,-108.0,148.5,-110.0,-110.0,KENT,COFC,83.17123214149356,69.28358497138748,Kent State Golden Flashes,Charleston Cougars,21.63947011057957,22.54033421816692,2024.0,0.591088,0.40888899999999995,0.554769,0.445208,0.6697665,0.33023349999999996,0.32305199999999995,0.26803600000000005,0.231717,0.17717200000000002,0.363517,0.30037600000000003,0.18475799999999998,0.139579,0.0,0.072805,0.0,0.0,0.040465,0.03234,0.13310655999999993,0.01581906813842282,-0.22951088000000008,0.0,0.06501489999999988,0.003842670201827258,-0.16506320000000002,0.0,-0.2879106499999998,0.0,0.045226478723404184,0.004806770787638554,0.06368495019157078,0.010585567219156437,-0.05495576119402984,0.0,-0.012409977011494211,0.0,-0.1298533731343283,0.0,-0.041886184713375796,0.0,0.03378725925925924,0.006164525996562953,-0.14524438216560503,0.0,-0.019758222222222205,0.0
14,Brooklyn Nets,Chicago Bulls,DraftKings,109.0,105.5,NBA,-148.0,124.0,3.5,-110.0,-110.0,214.5,-110.0,-110.0,BKN,CHI,115.30256801994238,104.03167130902696,Brooklyn Nets,Chicago Bulls,15.690573135690046,16.949979167964802,2024.0,0.6219919999999999,0.377976,0.6036849999999998,0.39628300000000005,0.679286,0.32071400000000005,0.36970800000000004,0.252284,0.23397700000000002,0.14399900000000002,0.39919000000000004,0.272096,0.195072,0.11760999999999999,0.0,0.049294,0.0,0.0,0.029481999999999998,0.019812000000000003,0.20618319999999973,0.03864682905658171,-0.30625040000000003,0.0,0.16773849999999957,0.025578367620227162,-0.2678056999999999,0.0,0.20462927999999986,0.02829266367116103,-0.22709729032258053,0.0,0.13096103030303036,0.04527808944920246,-0.05618322727272726,0.0,-0.030941757575757567,0.0,-0.180243803030303,0.0,0.12609454545454551,0.0349796356654546,-0.050332878048780505,0.0,-0.058769454545454514,0.0,-0.15141134146341467,0.0
15,Indianapolis Colts,Tampa Bay Buccaneers,DraftKings,24.0,21.5,NFL,-155.0,130.0,2.5,-118.0,-102.0,45.5,-110.0,-110.0,IND,TB,23.436468218047786,17.557457365556616,Indianapolis Colts,Tampa Bay Buccaneers,11.979612310551252,14.686350427825454,2023.0,0.591845,0.408174,0.35202100000000003,0.647998,0.6373270000000001,0.3626729999999999,0.18217400000000006,0.40967100000000006,0.169847,0.238327,0.18686499999999998,0.42778599999999994,0.159585,0.18043100000000004,0.0,0.022806,0.0,0.0,0.004691000000000001,0.018115,0.11022209999999988,0.010295687566449123,-0.19548852,0.0,-0.3607559,0.0,0.2607957999999999,0.06183131754330909,0.07518385000000016,0.0036468460005306654,-0.1275785384615386,0.0,-0.14107738339920944,0.0,-0.12876918705035975,0.0,0.1763393794466404,0.07867180916137433,-0.0356560935251799,0.0,-0.19310462616822435,0.0,-0.08832502949852505,0.0,0.16039628037383175,0.05505570886160821,-0.06132976696165188,0.0
16,UC Davis Aggies,Sacramento State Hornets,DraftKings,75.25,66.25,NCAAB,-455.0,350.0,9.0,-110.0,-110.0,141.5,-110.0,-110.0,UCD,SAC,91.49894118854908,55.95163945087588,UC Davis Aggies,Sacramento State Hornets,14.155093311831848,29.714755032923737,2024.0,0.7662869999999999,0.224019,0.624431,0.375399,0.8473044999999999,0.1526955000000001,0.41527300000000006,0.35101400000000005,0.20148,0.022539,0.47989200000000004,0.363687,0.138037,0.010763,0.0,0.067768,0.0,0.0,0.056941,0.010827,0.5092026999999999,0.23571580880662718,-0.6295601000000001,0.0,0.2113050999999999,0.040590768441827255,-0.3116621,0.0,0.1525399749999995,0.005113943730329795,-0.08939149999999987,0.0,0.19378550000000008,0.0991394448270601,-0.10098969696969695,0.0,0.10518596969696978,0.029209192903682464,-0.3477113787878788,0.0,0.08883335338345871,0.010495515015556114,0.024471387351778645,0.004545262383808809,-0.11474382706766917,0.0,-0.11957125559947301,0.0
17,Quinnipiac Bobcats,Stonehill Skyhawks,DraftKings,83.75,71.25,NCAAB,-1100.0,700.0,12.5,-110.0,-110.0,155.0,-110.0,-110.0,QUIN,STO,96.23068199348666,59.63653742981469,Quinnipiac Bobcats,Stonehill Skyhawks,29.839012494830765,25.404067915723,2024.0,0.714668,0.285378,0.5112659999999999,0.47795299999999996,0.815431,0.18456899999999998,0.388341,0.318365,0.122925,0.15958799999999998,0.432622,0.37024599999999996,0.07539900000000001,0.103718,0.0,0.097146,0.0,0.0,0.044280999999999994,0.05188100000000001,0.4008027999999999,0.14603898589803632,-0.5007062,0.0,-0.026341400000000292,0.0,-0.09629870000000007,0.0,-1.2148279999999996,0.0,0.06807885714285712,0.032443115529142835,0.15665198484848486,0.0647851891024006,-0.20930037878787877,0.0,0.06016992424242429,0.00955790822801516,-0.1587498787878788,0.0,-0.09272799999999987,0.0,0.010605657323055365,0.0016050891327156918,-0.21285955555555558,0.0,0.040909170287316055,0.023881704248023803
18,Milwaukee Bucks,Portland Trail Blazers,DraftKings,121.75,109.25,NBA,-750.0,525.0,12.5,-110.0,-110.0,231.0,-110.0,-110.0,MIL,POR,123.29900775762744,102.96719545584212,Milwaukee Bucks,Portland Trail Blazers,15.601968740240077,13.186776385021904,2024.0,0.6473519999999999,0.352584,0.40495800000000004,0.57589,0.839512,0.16048799999999996,0.28802799999999995,0.34648999999999996,0.11692999999999999,0.22939999999999997,0.35415100000000005,0.4630679999999999,0.046696999999999995,0.10489200000000001,0.0,0.18614,0.0,0.0,0.066123,0.11657799999999999,0.2594391999999998,0.061189725906036316,-0.35957360000000005,0.0,-0.24958819999999993,0.0,0.109369,0.010874161964545461,-0.3641479999999997,0.0,0.0005809523809523487,1.7719047619045329e-06,0.018341636363636282,0.000888137248669083,-0.21756621212121213,0.0,0.0989483333333333,0.025847639847333313,-0.06249393939393946,0.0,-0.20261537931034473,0.0,-0.04052193870082343,0.0,0.00019558620689635875,4.437459862061034e-08,0.02299739798719122,0.005780661834001248
19,Tennessee Titans,Carolina Panthers,DraftKings,20.0,16.5,NFL,-180.0,150.0,3.5,-110.0,-110.0,36.5,-110.0,-110.0,TEN,CAR,25.029875436085984,14.976347291032472,Tennessee Titans,Carolina Panthers,13.532265967760988,9.947082207584517,2023.0,0.583752,0.416242,0.5057619999999999,0.49423199999999995,0.6665239999999999,0.3334760000000001,0.282275,0.30147700000000005,0.223487,0.19275499999999998,0.29609199999999997,0.35005100000000006,0.201946,0.111143,0.0,0.062390999999999995,0.0,0.0,0.013817000000000001,0.048574000000000006,0.12587920000000008,0.014405066356945483,-0.22589179999999998,0.0,-0.03789980000000015,0.0,-0.062112800000000024,0.0,0.06626719999999975,0.002439634331022207,-0.11087333333333316,0.0,0.010409469696969709,0.0002860626367424255,-0.0706467121212121,0.0,0.036884954545454596,0.0035917196616054668,-0.1130196212121212,0.0,-0.06122170558375639,0.0,-0.009739411140583576,0.0,0.02012764974619302,0.0007980909000816829,-0.1246280875331565,0.0
20,Lamar Cardinals,Delaware State Hornets,DraftKings,76.0,71.5,NCAAB,-185.0,154.0,4.5,-110.0,-110.0,147.5,-110.0,-110.0,LAM,DSU,76.1426469021288,65.41353708087485,Lamar Cardinals,Delaware State Hornets,19.294706898155106,14.183659276653206,2024.0,0.603015,0.396787,0.40213299999999996,0.597669,0.6732549999999999,0.32674500000000006,0.28711699999999996,0.315898,0.115016,0.281771,0.309448,0.35625500000000004,0.08731900000000001,0.231676,0.0,0.062688,0.0,0.0,0.022331,0.040357000000000004,0.1663314999999999,0.025151061720227245,-0.2667473,0.0,-0.25552070000000005,0.0,0.1551049,0.021870481821827267,0.06877674999999983,0.0025568872111148577,-0.1104335714285713,0.0,0.017085560606060535,0.0007706592464296926,-0.22020521212121208,0.0,0.056768454545454594,0.008507815619105472,0.00971456060606063,0.00024914389570969805,-0.04650663917525777,0.0,-0.14974099999999999,0.0,0.024427680412371144,0.0011576204464381471,0.03211132467532468,0.003969878113755845
21,Lafayette Leopards,Belmont Bruins,DraftKings,71.75,78.25,NCAAB,225.0,-278.0,-6.5,-110.0,-110.0,150.0,-110.0,-110.0,LAF,BEL,68.73598887847118,78.81171026287015,Lafayette Leopards,Belmont Bruins,17.968490940161523,13.565888593576656,2024.0,0.436833,0.5628690000000001,0.448128,0.533979,0.32724200000000003,0.672758,0.239052,0.189756,0.20907599999999998,0.34422299999999995,0.18261,0.131077,0.257723,0.39528099999999994,0.10155,0.0,0.048647,0.05105799999999999,0.0,0.0,-0.18265069999999994,0.0,0.08202490000000012,0.006116440200009117,-0.15893119999999988,0.0,0.021355899999999983,0.00041461314982727465,0.02823844444444451,0.0017941719254444515,-0.23697476000000017,0.0,-0.04918587878787878,0.0,-0.09051642424242423,0.0,-0.11715460606060604,0.0,0.09582262121212115,0.024240413302938763,0.025419615384615374,0.00336001560076923,-0.20620012500000007,0.0,-0.03602357692307692,0.0,0.01733162499999996,0.0004806163602249979
22,Philadelphia Eagles,Buffalo Bills,DraftKings,25.75,22.75,NFL,-162.0,130.0,3.0,-110.0,-110.0,48.5,-110.0,-110.0,PHI,BUF,25.296222074221845,26.381313898639423,Philadelphia Eagles,Buffalo Bills,11.33952593739476,12.76002279849773,2023.0,0.41483200000000003,0.555298,0.5075379999999999,0.49243700000000007,0.4919965,0.5080035,0.22101,0.193822,0.276746,0.27855199999999997,0.24073699999999998,0.23295500000000002,0.256592,0.233082,0.0,0.029015,0.0,0.0,0.009944999999999999,0.01907,-0.2288527999999999,0.0,0.0661257999999999,0.003975110386945452,-0.03417020000000015,0.0,-0.0658822999999999,0.0,-0.3309691700000001,0.0,0.12954465384615393,0.021816362542155788,-0.07406196969696968,0.0,0.0027861515151514915,2.049337030060586e-05,-0.11154845454545453,0.0,0.00527624242424235,7.349425807515013e-05,-0.12254673205741634,0.0,0.03729760471976398,0.004715867367449673,-0.13405217703349281,0.0,0.006852501474926276,0.0001591834722125093
23,Cincinnati Bengals,Pittsburgh Steelers,DraftKings,17.0,19.0,NFL,114.0,-142.0,-2.0,-110.0,-110.0,36.0,-112.0,-108.0,CIN,PIT,19.69019865584316,21.31893723751237,Cincinnati Bengals,Pittsburgh Steelers,12.320263344948795,10.26753243102851,2023.0,0.474743,0.517392,0.483387,0.502073,0.43213300000000004,0.5678669999999999,0.23585399999999998,0.23261099999999998,0.244812,0.26480699999999996,0.22463,0.17496099999999998,0.25131299999999995,0.28202200000000005,0.016339999999999997,0.0,0.0037800000000000004,0.01256,0.0,0.0,-0.10303969999999996,0.0,-0.013476800000000067,0.0,-0.09521955999999998,0.0,-0.03568815999999997,0.0,-0.06599594736842096,0.0,-0.045761860000000265,0.0,-0.056922245210728,0.0,-0.044532061302681974,0.0,-0.05372817910447761,0.0,-0.00951874626865673,0.0,-0.02958967213114755,0.0,-0.08442108071748888,0.0,-0.08947457692307698,0.0,-0.03288063157894733,0.0
24,Appalachian State Mountaineers,Austin Peay Governors,DraftKings,70.75,63.25,NCAAB,-345.0,275.0,7.5,-110.0,-110.0,134.0,-105.0,-115.0,APP,APSU,82.74957983032452,40.1864702113848,Appalachian State Mountaineers,Austin Peay Governors,11.61895003862225,24.171608690086533,2024.0,0.887643,0.112075,0.391751,0.59187,0.9337395,0.06626050000000006,0.30253599999999997,0.570389,0.08921499999999999,0.021481,0.33411299999999994,0.58183,0.053876,0.008974,0.0,0.043608999999999995,0.0,0.0,0.031577,0.011441,0.7640503,0.5307026008455363,-0.8646425,0.0,-0.24691045000000006,0.0,0.12252049999999998,0.013053280800217386,0.7051407749999997,0.14412275726597099,-0.27328113636363627,0.0,0.047054681318681235,0.00604461048282724,-0.24440587912087913,0.0,0.40322518677042807,0.4178577167023397,-0.3592656926070039,0.0,-0.10397055263157906,0.0,-0.095827164556962,0.0,0.28525553191489356,0.11473271306814889,-0.15592217304492512,0.0
25,Western Carolina Catamounts,North Alabama Lions,DraftKings,77.5,69.0,NCAAB,-425.0,330.0,8.5,-110.0,-110.0,146.5,-110.0,-110.0,WCU,UNA,77.39249058829974,56.56648179309086,Western Carolina Catamounts,North Alabama Lions,26.31951114034352,21.57622147952077,2024.0,0.637196,0.362671,0.367473,0.632394,0.7285445,0.27145549999999996,0.263398,0.37379799999999996,0.10407499999999999,0.25859600000000005,0.290882,0.432485,0.073506,0.192639,0.0,0.086171,0.0,0.0,0.027483999999999998,0.058687,0.23811159999999998,0.051542849140509064,-0.3383909,0.0,-0.3283067000000001,0.0,0.2280274,0.04726954104614549,-0.4251413749999998,0.0,0.05068443939393932,0.008477410909037095,-0.015617909090909043,0.0,-0.23529053030303032,0.0,0.13660027272727268,0.04926143510419633,-0.022238848484848417,0.0,-0.23052829411764708,0.0,-0.0549952482662968,0.0,0.015194558823529436,0.00031398948026470857,0.08066105270457698,0.046909741102790045
26,La Salle Explorers,Coppin State Eagles,DraftKings,76.25,58.25,NCAAB,-4500.0,1700.0,18.0,-110.0,-110.0,134.5,-110.0,-110.0,LAS,COPP,83.93183985007028,45.84015505550043,La Salle Explorers,Coppin State Eagles,18.51215816699933,16.518676298864467,2024.0,0.779687,0.20830500000000002,0.4361409999999999,0.563726,0.9360335,0.06396650000000004,0.356088,0.423599,0.075538,0.13276700000000002,0.413702,0.519772,0.020666999999999998,0.040607,0.0,0.14191199999999998,0.0,0.0,0.05309899999999999,0.088813,0.5373427000000001,0.26248834294844553,-0.6625595,0.0,-0.1841039000000002,0.0,0.08382459999999986,0.00638778505923635,-1.9424590000000015,0.0,0.008905705882352982,0.0013482971534706004,0.11218193939393942,0.03322383906912971,-0.27463699999999996,0.0,0.20526528787878792,0.11123333339701882,-0.19573034848484844,0.0,-0.2034537894736842,0.0,-0.008689504796163074,0.0,0.014268842105263135,0.00019341986227368384,0.011848217026378893,0.004683085030051267
