oddsHomeTeam,oddsAwayTeam,sport,bookie,homeScoreOddsImplied,awayScoreOddsImplied,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Orlando Magic,Philadelphia 76ers,NBA,FanDuel,108.75,114.25,180.0,-215.0,-5.5,-112.0,-108.0,223.0,-110.0,-110.0,ORL,PHI,109.38366601031304,109.13979813321625,Orlando Magic,Philadelphia 76ers,12.627833677384023,11.839521544956169,111.11430248980432,119.31591678761492,2024.0,0.630468,0.36940000000000006,0.401312,0.5762319999999999,0.494318,0.482595,0.023087000000000003,0.25329799999999997,0.36272,0.134103,0.22742300000000001,0.201151,0.28173100000000006,0.177074,0.294501,0.113063,0.0,0.042971,0.067078,0.0,0.0,0.2165921600000001,0.04188586051202285,-0.3116479999999998,0.0,-0.25724480000000005,0.0,0.11008719999999966,0.011017446912581767,0.21338355555555555,0.08195857520675552,-0.6298257500000001,0.0,-0.032794720306513425,0.0,-0.18899289552238804,0.0,0.11855141762452101,0.03668208480024519,-0.060851999999999934,0.0,0.0175075517241379,0.0013333374980741349,-0.28010711111111114,0.0,0.11661168965517249,0.05915254481441903,-0.09744288888888886,0.0
Portland Trail Blazers,Indiana Pacers,NBA,DraftKings,116.75,121.75,164.0,-198.0,-5.0,-108.0,-112.0,238.5,-110.0,-110.0,POR,IND,115.094145385085,123.1054255697604,Portland Trail Blazers,Indiana Pacers,13.859943516792638,16.086995620905903,106.0929245283019,125.21428571428572,2024.0,0.437884,0.5433359999999999,0.499884,0.5001280000000001,0.346851,0.6354569999999999,0.017692,0.192919,0.244965,0.28813900000000003,0.255197,0.14963100000000001,0.19722,0.332561,0.302908,0.07334099999999999,0.0,0.035114,0.038227000000000004,0.0,0.0,-0.16920128000000006,0.0,0.03187231999999984,0.0009070042698057012,-0.050243600000000055,0.0,-0.04973119999999975,0.0,-0.051410585365853634,0.0,-0.08633814000000017,0.0,-0.10823062686567159,0.0,0.015395321839080489,0.0006186115891203476,-0.036764477611940294,0.0,-0.030168134099616883,0.0,-0.060856376237623716,0.0,-0.024358251336898396,0.0,-0.0014879207920792115,0.0,-0.06986847058823531,0.0
Portland Trail Blazers,Indiana Pacers,NBA,BetMGM,117.0,121.5,165.0,-200.0,-4.5,-105.0,-115.0,238.5,-110.0,-110.0,POR,IND,115.094145385085,123.1054255697604,Portland Trail Blazers,Indiana Pacers,13.859943516792638,16.086995620905903,106.0929245283019,125.21428571428572,2024.0,0.437884,0.562128,0.499884,0.5001280000000001,0.346851,0.6354569999999999,0.017692,0.192919,0.244965,0.29744699999999996,0.264681,0.14963100000000001,0.19722,0.332561,0.302908,0.07334099999999999,0.0,0.035114,0.038227000000000004,0.0,0.0,-0.15233780000000013,0.0,0.05857519999999994,0.002983525265252161,-0.050243600000000055,0.0,-0.04973119999999975,0.0,-0.048996878787878784,0.0,-0.09362900000000018,0.0,-0.10271506593406593,0.0,0.024080073929961032,0.001490214398414039,-0.03160459706959706,0.0,-0.021435342412451375,0.0,-0.05981949261083744,0.0,-0.02627717204301072,0.0,-0.0005090640394088963,0.0,-0.07187264516129033,0.0
Portland Trail Blazers,Indiana Pacers,NBA,FanDuel,116.0,121.5,176.0,-210.0,-5.5,-112.0,-108.0,237.5,-110.0,-110.0,POR,IND,115.094145385085,123.1054255697604,Portland Trail Blazers,Indiana Pacers,13.859943516792638,16.086995620905903,106.0929245283019,125.21428571428572,2024.0,0.4566760000000001,0.5433359999999999,0.518177,0.481835,0.346851,0.6354569999999999,0.017692,0.21063600000000002,0.24603999999999998,0.298711,0.244625,0.155968,0.190883,0.34451699999999996,0.290952,0.092133,0.0,0.04580599999999999,0.04632700000000001,0.0,0.0,-0.1518468799999998,0.0,0.05013887999999983,0.002327691933013318,-0.011828300000000014,0.0,-0.08814650000000002,0.0,-0.024256386363636306,0.0,-0.13008330000000023,0.0,-0.09180231417624521,0.0,0.03703600000000001,0.0036760629932800007,-0.042833563218390824,0.0,-0.03723134328358205,0.0,-0.041697573770491825,0.0,-0.015638494505494538,0.0,0.0013942412177985752,8.300489608453972e-06,-0.09863481318681316,0.0
Central Michigan Chippewas,Toledo Rockets,NCAAB,DraftKings,70.25,77.75,275.0,-345.0,-7.5,-110.0,-110.0,148.0,-110.0,-110.0,CMU,TOL,73.39808116473806,79.00052184975223,Central Michigan Chippewas,Toledo Rockets,11.721410107899612,12.667214417669246,65.5,79.05882352941177,2024.0,0.543704,0.45607200000000003,0.5987039999999999,0.37968900000000005,0.361722,0.616348,0.02193,0.308612,0.22299499999999994,0.28061299999999995,0.16517400000000002,0.20198400000000002,0.151732,0.37478999999999996,0.227957,0.160052,0.0,0.094177,0.06278299999999999,0.0,0.0,0.04177839999999988,0.001586758824145448,-0.14224879999999995,0.0,0.15727839999999976,0.02248772282414541,-0.3026530999999999,0.0,0.12962090909090906,0.0462043452022727,-0.7072514,0.0,0.046722606060606076,0.005763125061129697,0.00811792424242419,0.00017397783217514885,-0.0713250757575758,0.0,-0.15104796969696963,0.0,0.07243594805194808,0.03232131407233665,-0.05343602739726033,0.0,0.014026155844155841,0.0012118755742296116,-0.30083957534246586,0.0
Central Michigan Chippewas,Toledo Rockets,NCAAB,BetMGM,70.5,78.0,250.0,-300.0,-7.5,-110.0,-110.0,148.5,-110.0,-110.0,CMU,TOL,73.39808116473806,79.00052184975223,Central Michigan Chippewas,Toledo Rockets,11.721410107899612,12.667214417669246,65.5,79.05882352941177,2024.0,0.543704,0.45607200000000003,0.5987039999999999,0.40107200000000004,0.361722,0.616348,0.02193,0.308612,0.23509200000000002,0.28061299999999995,0.17545899999999998,0.20198400000000002,0.159738,0.37478999999999996,0.241334,0.160052,0.0,0.094177,0.065875,0.0,0.0,0.04177839999999988,0.001586758824145448,-0.14224879999999995,0.0,0.15727839999999976,0.02248772282414541,-0.25774879999999983,0.0,0.10641079999999997,0.028308145891599995,-0.5346080000000001,0.0,0.046722606060606076,0.005763125061129697,0.00811792424242419,0.00017397783217514885,-0.05464587878787874,0.0,-0.13686713636363634,0.0,0.06148822535211271,0.021474954547488472,-0.02857129032258071,0.0,0.011804549295774625,0.0007914931415538002,-0.24812793548387102,0.0
Central Michigan Chippewas,Toledo Rockets,NCAAB,FanDuel,70.5,78.0,255.0,-320.0,-7.5,-110.0,-110.0,148.5,-110.0,-110.0,CMU,TOL,73.39808116473806,79.00052184975223,Central Michigan Chippewas,Toledo Rockets,11.721410107899612,12.667214417669246,65.5,79.05882352941177,2024.0,0.543704,0.45607200000000003,0.5987039999999999,0.40107200000000004,0.361722,0.616348,0.02193,0.308612,0.23509200000000002,0.28061299999999995,0.17545899999999998,0.20198400000000002,0.159738,0.37478999999999996,0.241334,0.160052,0.0,0.094177,0.065875,0.0,0.0,0.04177839999999988,0.001586758824145448,-0.14224879999999995,0.0,0.15727839999999976,0.02248772282414541,-0.25774879999999983,0.0,0.1114169019607843,0.03165500140847449,-0.6113384000000001,0.0,0.046722606060606076,0.005763125061129697,0.00811792424242419,0.00017397783217514885,-0.05464587878787874,0.0,-0.13686713636363634,0.0,0.06391894809688586,0.0236149525311956,-0.03925635761589413,0.0,0.014363951557093413,0.0011925475430535624,-0.26109381456953645,0.0
Colorado State Rams,UNLV Rebels,NCAAB,DraftKings,75.5,68.5,-305.0,245.0,7.0,-110.0,-110.0,144.0,-112.0,-108.0,CSU,UNLV,78.93088444286272,70.31208140918423,Colorado State Rams,UNLV Rebels,12.58982678274372,11.95617856699651,79.66666666666666,72.54285714285714,2024.0,0.5255960000000001,0.45132300000000003,0.615916,0.36281599999999997,0.679899,0.2997829999999999,0.020318000000000003,0.327141,0.186794,0.266269,0.17476,0.42036399999999996,0.244943,0.175234,0.117873,0.0,0.131422,0.0,0.0,0.0791,0.049391,0.003751600000000077,1.2795002327273784e-05,-0.1522216999999999,0.0,0.18574192000000006,0.030803625754719993,-0.32534272000000003,0.0,-0.29640904999999995,0.0,0.013980142857142774,0.0004788387660499927,0.06934061685823756,0.012549196191793139,-0.014853988505747151,0.0,-0.11664107462686565,0.0,-0.13316537313432833,0.0,0.03649909933774825,0.0020115982212248903,0.026090057866184457,0.0037642218906185185,-0.23906789743589743,0.0,-0.03853249645390072,0.0
Colorado State Rams,UNLV Rebels,NCAAB,BetMGM,76.5,69.0,-350.0,260.0,7.5,-105.0,-115.0,145.5,-105.0,-115.0,CSU,UNLV,78.93088444286272,70.31208140918423,Colorado State Rams,UNLV Rebels,12.58982678274372,11.95617856699651,79.66666666666666,72.54285714285714,2024.0,0.5255960000000001,0.47420399999999996,0.5936170000000001,0.40618300000000007,0.679899,0.2997829999999999,0.020318000000000003,0.315787,0.20980899999999997,0.269447,0.204757,0.405064,0.274835,0.168235,0.131348,0.0,0.15430299999999997,0.0,0.0,0.08927700000000001,0.065026,0.0274718000000001,0.0007187617097523851,-0.13046140000000006,0.0,0.16691485000000011,0.026533873476688133,-0.2767065499999999,0.0,-0.44045449999999997,0.0,0.030468769230769133,0.002413699335938448,0.07229482918149466,0.014686583937131986,-0.0062333773584906105,0.0,-0.08837628301886802,0.0,-0.11334020000000003,0.0,0.011066649006622464,0.00018493078755602436,0.030297189054726364,0.005535055577645521,-0.24314000000000008,0.0,-0.020249207678883052,0.0
Colorado State Rams,UNLV Rebels,NCAAB,FanDuel,76.0,68.5,-320.0,255.0,7.5,-110.0,-110.0,144.5,-115.0,-105.0,CSU,UNLV,78.93088444286272,70.31208140918423,Colorado State Rams,UNLV Rebels,12.58982678274372,11.95617856699651,79.66666666666666,72.54285714285714,2024.0,0.5255960000000001,0.47420399999999996,0.615916,0.383884,0.679899,0.2997829999999999,0.020318000000000003,0.327141,0.198455,0.280392,0.193812,0.42036399999999996,0.259535,0.175234,0.124349,0.0,0.15430299999999997,0.0,0.0,0.093223,0.06108,0.003751600000000077,1.2795002327273784e-05,-0.10417160000000014,0.0,0.17421940000000002,0.026393390727269542,-0.2630378,0.0,-0.34442419999999996,0.0,0.025188098039215567,0.0016178227212244945,0.06532815953307392,0.010968164859905408,0.00038888715953300235,3.886693827236493e-07,-0.09515122710622709,0.0,-0.10149495970695968,0.0,0.020615034482758532,0.0006162204877517197,0.028998893617021265,0.004742878086903824,-0.2151220512820512,0.0,-0.023315586846542988,0.0
Fairfield Stags,Saint Peter's Peacocks,NCAAB,BetMGM,69.5,66.0,-165.0,140.0,3.5,-110.0,-110.0,135.5,-110.0,-110.0,FAIR,SPU,66.58744621769715,62.59568565219513,Fairfield Stags,Saint Peter's Peacocks,11.82522959253064,11.527581074938167,75.3125,64.84615384615384,2024.0,0.511703,0.488148,0.366082,0.6337689999999999,0.583591,0.392934,0.023475000000000003,0.18362499999999998,0.328078,0.167419,0.320729,0.208488,0.37510299999999996,0.134119,0.258666,0.0,0.07188800000000001,0.0,0.0,0.024863,0.04702500000000001,-0.025423699999999938,0.0,-0.07488919999999999,0.0,-0.33122779999999996,0.0,0.2309148999999998,0.04847426458364537,-0.10348385000000004,0.0,-0.04068457142857146,0.0,-0.1256079545454546,0.0,-0.14795259090909088,0.0,0.07356209090909088,0.014286046417941803,0.0634293787878788,0.01062147528661879,-0.1738849468599034,0.0,-0.10774720111731845,0.0,0.07322039130434776,0.011097737204716941,0.051589463687150866,0.009528072493429731
Fairfield Stags,Saint Peter's Peacocks,NCAAB,FanDuel,69.5,66.0,-164.0,136.0,3.5,-110.0,-110.0,135.5,-110.0,-110.0,FAIR,SPU,66.58744621769715,62.59568565219513,Fairfield Stags,Saint Peter's Peacocks,11.82522959253064,11.527581074938167,75.3125,64.84615384615384,2024.0,0.511703,0.488148,0.366082,0.6337689999999999,0.583591,0.392934,0.023475000000000003,0.18362499999999998,0.328078,0.167419,0.320729,0.208488,0.37510299999999996,0.134119,0.258666,0.0,0.07188800000000001,0.0,0.0,0.024863,0.04702500000000001,-0.025423699999999938,0.0,-0.07488919999999999,0.0,-0.33122779999999996,0.0,0.2309148999999998,0.04847426458364537,-0.09931976000000009,0.0,-0.053438058823529366,0.0,-0.1256079545454546,0.0,-0.14795259090909088,0.0,0.07356209090909088,0.014286046417941803,0.0634293787878788,0.01062147528661879,-0.1738849468599034,0.0,-0.11257074358974362,0.0,0.07322039130434776,0.011097737204716941,0.0474597321937322,0.007906015891451734
Iona Gaels,Canisius Golden Griffins,NCAAB,DraftKings,76.25,68.25,-360.0,285.0,8.0,-110.0,-110.0,144.5,-110.0,-110.0,IONA,CAN,77.18774970839534,68.20416218794823,Iona Gaels,Canisius Golden Griffins,12.162526491322126,12.063041330069389,71.6875,72.10370370370372,2024.0,0.511138,0.46538999999999997,0.53064,0.469137,0.6896920000000001,0.29001199999999994,0.020296,0.267634,0.243504,0.24119,0.22419999999999998,0.360458,0.32923399999999997,0.149886,0.13990299999999997,0.0,0.15530500000000003,0.0,0.0,0.08098999999999999,0.07431499999999999,-0.02661020000000003,0.0,-0.12268100000000004,0.0,0.014344000000000023,0.00018704575999999945,-0.11481229999999998,0.0,-0.4274167999999995,0.0,0.04089340350877185,0.004765970784014014,-0.009777363636363667,0.0,-0.04623803030303028,0.0,-0.04304751515151517,0.0,-0.0696636363636364,0.0,-0.08366838888888894,0.0,0.016009779527559026,0.001627587807308658,-0.13657572222222225,0.0,0.004454653543307041,0.00012600900751220186
Iona Gaels,Canisius Golden Griffins,NCAAB,BetMGM,76.5,68.0,-350.0,280.0,8.5,-105.0,-115.0,144.5,-110.0,-110.0,IONA,CAN,77.18774970839534,68.20416218794823,Iona Gaels,Canisius Golden Griffins,12.162526491322126,12.063041330069389,71.6875,72.10370370370372,2024.0,0.511138,0.488639,0.53064,0.469137,0.6896920000000001,0.29001199999999994,0.020296,0.267634,0.243504,0.25302399999999997,0.23561500000000002,0.360458,0.32923399999999997,0.149886,0.13990299999999997,0.0,0.178554,0.0,0.0,0.092824,0.08572999999999999,-0.0021671000000000884,0.0,-0.09942614999999994,0.0,0.014344000000000023,0.00018704575999999945,-0.11481229999999998,0.0,-0.3963859999999998,0.0,0.03644485714285706,0.0037190373140571203,-0.0006319340659340922,0.0,-0.037628140077821115,0.0,-0.03360076190476191,0.0,-0.06181107003891051,0.0,-0.08060544827586213,0.0,0.013867759999999979,0.001201967296359996,-0.13336324137931038,0.0,0.0022874799999999806,3.2703529689999146e-05
Iona Gaels,Canisius Golden Griffins,NCAAB,FanDuel,76.5,68.0,-360.0,280.0,8.5,-104.0,-118.0,144.5,-110.0,-110.0,IONA,CAN,77.18774970839534,68.20416218794823,Iona Gaels,Canisius Golden Griffins,12.162526491322126,12.063041330069389,71.6875,72.10370370370372,2024.0,0.511138,0.488639,0.53064,0.469137,0.6896920000000001,0.29001199999999994,0.020296,0.267634,0.243504,0.25302399999999997,0.23561500000000002,0.360458,0.32923399999999997,0.149886,0.13990299999999997,0.0,0.178554,0.0,0.0,0.092824,0.08572999999999999,0.0027215199999999218,7.12179914461551e-06,-0.11476698000000002,0.0,0.014344000000000023,0.00018704575999999945,-0.11481229999999998,0.0,-0.4274167999999995,0.0,0.03644485714285706,0.0037190373140571203,0.000347138686131343,3.3018443270070975e-07,-0.0422234308300396,0.0,-0.032589430656934315,0.0,-0.0665134584980237,0.0,-0.08366838888888894,0.0,0.013867759999999979,0.001201967296359996,-0.13657572222222225,0.0,0.0022874799999999806,3.2703529689999146e-05
