oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeScoreOddsImpliedAll,awayScoreOddsImpliedAll,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Cal State Northridge Matadors,UC Santa Barbara Gauchos,DraftKings,78.0,76.5,NCAAB,-118.0,-102.0,1.5,-110.0,-110.0,154.5,-112.0,-108.0,78.11538461538461,76.57692307692308,CSUN,UCSB,82.04322450120468,70.05300356482,Cal State Northridge Matadors,UC Santa Barbara Gauchos,11.101849494500955,11.674330817664742,77.73333333333333,73.26190476190477,2024.0,0.7424759999999999,0.257328,0.451042,0.548762,0.762097,0.21912599999999993,0.018777,0.3206570000000001,0.421819,0.119919,0.137409,0.329805,0.43229200000000007,0.10245999999999998,0.11646999999999999,0.0,0.019621000000000003,0.0,0.0,0.009147999999999998,0.010473,0.4591995999999998,0.1916947933092362,-0.5596112,0.0,-0.16379095999999999,0.0,0.06142495999999992,0.0034935423250014802,0.48137146000000003,0.19637159534112855,-0.5773654800000002,0.0,0.06037232567049816,0.009512974214916852,-0.21727678544061302,0.0,0.20607982089552238,0.11381663211528599,-0.18445331343283577,0.0,0.06172700000000003,0.009525556322500012,-0.22391818181818185,0.0,0.21053106250000012,0.11346772039009013,-0.19795348754448402,0.0
California Golden Bears,Washington Huskies,DraftKings,78.0,76.5,NCAAB,-118.0,-102.0,1.5,-112.0,-108.0,154.5,-108.0,-112.0,78.23076923076923,76.38461538461539,CAL,WASH,77.89614775971927,77.928801299151,California Golden Bears,Washington Huskies,11.802315864859626,11.697709204127792,74.5,78.66013071895425,2024.0,0.46314700000000003,0.536668,0.543263,0.456552,0.48710500000000007,0.488884,0.024010999999999998,0.24759000000000003,0.21555700000000003,0.28413,0.25253800000000004,0.260616,0.226489,0.258636,0.230063,0.0,0.023958,0.0,0.0,0.013025999999999998,0.010932,-0.13812836,0.0,0.0362694400000001,0.0012180298869570454,0.049987040000000094,0.002313614970334823,-0.15210975999999993,0.0,-0.11811109999999986,0.0,-0.032454320000000036,0.0,-0.036338301886792435,0.0,0.01997132841328414,0.0010808942277822874,-0.08849067441860461,0.0,-0.029523132075471636,0.0,-0.02820587499999999,0.0,-0.005194604982206419,0.0,-0.08291540000000003,0.0,-0.04991409090909091,0.0
Charleston Cougars,Towson Tigers,DraftKings,75.5,64.5,NCAAB,-675.0,490.0,11.0,-108.0,-112.0,140.0,-112.0,-108.0,75.6923076923077,64.76923076923077,COFC,TOW,72.47191647771437,63.08226152897849,Charleston Cougars,Towson Tigers,11.876395386605294,11.78208634503304,79.0625,62.51805555555556,2024.0,0.44951399999999997,0.526581,0.396559,0.5812020000000001,0.702258,0.27736099999999997,0.020381,0.173684,0.265185,0.20064500000000002,0.313552,0.270764,0.41554599999999997,0.105414,0.16565599999999997,0.0,0.229,0.0,0.0,0.087682,0.136015,-0.14501088000000006,0.0,-0.0036482800000000593,0.0,-0.27929492,0.0,0.1289001600000002,0.015384491896320069,-1.3075004999999997,0.0,0.12988365306122446,0.08266184032938978,-0.13813335849056607,0.0,-0.10918251937984497,0.0,-0.005964446494464926,0.0,0.054515018867924536,0.007875501297750942,-0.35251463247863246,0.0,0.01745077482792526,0.003097065443105639,-0.06747383471074386,0.0,0.08512086486486484,0.07506401854214913
Colorado Buffaloes,Oregon Ducks,DraftKings,77.25,71.25,NCAAB,-270.0,220.0,6.0,-115.0,-105.0,148.5,-108.0,-112.0,77.36538461538461,71.01923076923077,COLO,ORE,78.41886596581023,78.22331548336095,Colorado Buffaloes,Oregon Ducks,11.7888852331264,11.79004617956903,79.77124183006536,78.15277777777777,2024.0,0.35249,0.6246949999999999,0.694996,0.304712,0.49254899999999996,0.483525,0.023926000000000003,0.24243599999999998,0.110054,0.42956999999999995,0.195125,0.33872199999999997,0.15382700000000002,0.33234800000000003,0.150885,0.0,0.11753599999999999,0.0,0.0,0.081047,0.036489,-0.3921465,0.0,0.23062474999999977,0.05065502410720228,0.3655916799999999,0.123756737486317,-0.47401055999999997,0.0,-0.8775687000000005,0.0,0.24876363636363635,0.1361433629090909,-0.048934769230769226,0.0,0.2228924637681159,0.13711969911675354,-0.24031844094488192,0.0,-0.10297685185185185,0.0,-0.06449629268292689,0.0,0.2029580775193799,0.21255062314867113,-0.37835727672955966,0.0,-0.01692428853754943,0.0
Delaware Blue Hens,Stony Brook Seawolves,DraftKings,75.25,67.75,NCAAB,-325.0,260.0,7.5,-108.0,-112.0,143.0,-112.0,-108.0,75.26923076923077,68.03846153846153,DEL,STBK,79.46132845601075,65.66040009058071,Delaware Blue Hens,Stony Brook Seawolves,11.468125317574536,11.041134325984792,74.15972222222223,68.63888888888889,2024.0,0.653828,0.34600899999999996,0.5484190000000001,0.426581,0.798261,0.18452999999999997,0.017209000000000002,0.359151,0.278757,0.18135300000000001,0.15573900000000002,0.435666,0.342574,0.095544,0.084007,0.0,0.144433,0.0,0.0,0.076515,0.063817,0.2799622399999999,0.07257301465353479,-0.38646092000000004,0.0,0.042648280000000205,0.001623996238355732,-0.19271152000000003,0.0,0.14260925000000002,0.0062576609801730885,-0.1291123076923077,0.0,0.11732118867924526,0.03647529247974434,-0.1359520387596899,0.0,0.012615671586715838,0.00043131050957228575,-0.16285005660377355,0.0,0.05435924324324326,0.004373292442447565,-0.06012828915662653,0.0,-0.08994310526315796,0.0,-0.07046062225969649,0.0
Elon Phoenix,UNC Wilmington Seahawks,DraftKings,71.0,79.0,NCAAB,295.0,-375.0,-8.0,-110.0,-110.0,150.0,-108.0,-112.0,70.76923076923077,78.96153846153847,ELON,UNCW,72.81468506973849,77.60865977459483,Elon Phoenix,UNC Wilmington Seahawks,13.333745013859826,11.64232208544166,71.15384615384616,73.44444444444444,2024.0,0.560686,0.41692599999999996,0.509041,0.469176,0.382345,0.595926,0.021729000000000002,0.300763,0.24755699999999997,0.186867,0.22089400000000003,0.21121700000000002,0.16279700000000003,0.27609500000000003,0.30637899999999996,0.156612,0.0,0.078644,0.07490000000000001,0.0,0.0,0.07744060000000003,0.005451860480327282,-0.22445540000000014,0.0,-0.02119472000000011,0.0,-0.12534688,0.0,0.17297042372881355,0.08826036408052967,-0.9193515000000003,0.0,0.039853671641791044,0.004256684584128959,-0.11654083582089547,0.0,-0.04073533716475097,0.0,-0.07761404597701144,0.0,0.09188522995461425,0.05580753914799957,-0.22661680555555558,0.0,0.03359900617283956,0.0073152280384002665,-0.18906457142857153,0.0
Florida Atlantic Owls,Wichita State Shockers,DraftKings,83.75,68.75,NCAAB,-1350.0,800.0,15.0,-112.0,-108.0,152.5,-112.0,-108.0,83.9423076923077,68.90384615384616,FAU,WICH,85.20719962619545,65.90071747165321,Florida Atlantic Owls,Wichita State Shockers,11.69328122423678,11.451058294180005,79.32,72.86666666666666,2024.0,0.5918089999999999,0.384433,0.472717,0.527077,0.8746710000000001,0.11317199999999994,0.012156999999999994,0.278868,0.31294099999999997,0.175881,0.208552,0.40943,0.465241,0.05113000000000001,0.061836000000000016,0.0,0.25931,0.0,0.0,0.11935299999999999,0.139957,0.13463507999999985,0.016184468541612814,-0.28037935999999997,0.0,-0.11783995999999991,0.0,0.016320160000000028,0.00024661816891259316,-0.8172704999999988,0.0,0.0023184999999999317,4.300353799999772e-05,-0.0006405271317829198,0.0,-0.13510730188679249,0.0,0.053673452830188595,0.007634224777593374,-0.08349523247232474,0.0,-0.16393893203883497,0.0,-0.008026483790523682,0.0,-0.034533766355140105,0.0,0.004385663196570737,0.0003140919005324205
Georgia Southern Eagles,Coastal Carolina Chanticleers,DraftKings,76.75,73.75,NCAAB,-142.0,120.0,3.0,-110.0,-110.0,150.5,-110.0,-110.0,76.67307692307692,73.82692307692308,GASO,CCU,77.32779821436613,77.91887873335125,Georgia Southern Eagles,Coastal Carolina Chanticleers,12.15090252626731,11.995626512756722,68.375,72.71428571428571,2024.0,0.40520200000000006,0.571709,0.6187640000000001,0.381002,0.474412,0.502236,0.023351999999999998,0.24879600000000002,0.156406,0.346387,0.22532200000000002,0.291273,0.183139,0.304139,0.19786299999999998,0.0,0.046355,0.0,0.0,0.028269,0.018086000000000005,-0.24907579999999985,0.0,0.10058890000000004,0.00919829709382729,0.1994044000000002,0.03614737703578192,-0.2998958,0.0,-0.27192296,0.0,0.08743266666666666,0.009173365440533342,-0.03575096969696967,0.0,0.0988063181818182,0.025773497673387283,-0.16313718181818182,0.0,-0.0681166363636363,0.0,-0.023716777777777753,0.0,0.08668243749999999,0.024044303907012492,-0.17991033333333334,0.0,-0.05280481249999999,0.0
Grand Canyon Lopes,Utah Valley Wolverines,DraftKings,76.5,63.5,NCAAB,-1000.0,650.0,13.0,-110.0,-110.0,140.0,-108.0,-112.0,76.34615384615384,63.30769230769231,GCU,UVU,78.85846587962656,57.69337521831487,Grand Canyon Lopes,Utah Valley Wolverines,11.83108261539881,11.95699943174387,79.3125,65.94017094017093,2024.0,0.674949,0.303776,0.41452600000000006,0.562557,0.8901319999999999,0.09909600000000007,0.010771999999999997,0.27417400000000003,0.384816,0.12501400000000001,0.171444,0.36268599999999995,0.506865,0.04106799999999999,0.05569200000000001,0.0,0.194057,0.0,0.0,0.07962799999999999,0.109807,0.31739290000000003,0.09158022997310004,-0.46207039999999994,0.0,-0.21778591999999986,0.0,0.07262083999999996,0.004708737859201413,-0.20854800000000084,0.0,-0.039504615384615305,0.0,0.003343402985074684,2.9957960635224834e-05,-0.2014733134328358,0.0,0.14911331800766284,0.05803277999493394,-0.1460104061302682,0.0,-0.20634435714285715,0.0,-0.030281107142857158,0.0,0.05025851851851859,0.0027279921783703786,-0.01584648484848484,0.0
Hofstra Pride,Hampton Pirates,DraftKings,83.5,65.0,NCAAB,-1800.0,1000.0,18.5,-105.0,-115.0,148.5,-108.0,-112.0,83.3125,65.10416666666667,HOF,HAMP,86.55100526327335,63.30969145536345,Hofstra Pride,Hampton Pirates,13.630326726595626,14.515878269464716,72.63888888888889,68.81818181818181,2024.0,0.5921869999999999,0.40761000000000003,0.532911,0.46688599999999997,0.87268,0.11713600000000002,0.010183999999999997,0.303741,0.288446,0.224545,0.183065,0.45611799999999997,0.41656200000000004,0.066609,0.05032400000000001,0.0,0.28049300000000005,0.0,0.0,0.152377,0.12811599999999998,0.1639833499999998,0.025610037216402304,-0.2736385,0.0,0.02845488000000007,0.0007497038850133412,-0.13020168000000015,0.0,-1.4190800000000001,0.0,0.028849600000000017,0.008322994201600013,0.051473246376811554,0.007312606455487527,-0.07370692307692306,0.0,0.024907481481481475,0.0016750331111259236,-0.1385629527559055,0.0,-0.07192277669902908,0.0,0.02037863843486875,0.008384682981029427,-0.16687599999999986,0.0,0.0024089646821392613,0.00011501765684472346
Idaho State Bengals,Idaho Vandals,DraftKings,69.25,64.25,NCAAB,-218.0,180.0,5.0,-110.0,-110.0,133.5,-110.0,-110.0,69.46153846153847,64.03846153846153,IDST,IDHO,68.05061961080378,62.46396890859714,Idaho State Bengals,Idaho Vandals,11.231696486550206,11.08396230970251,65.12592592592593,66.92063492063492,2024.0,0.5020129999999999,0.472525,0.438368,0.561435,0.626278,0.34997,0.023752000000000002,0.215642,0.28637100000000004,0.19886500000000001,0.27365999999999996,0.268048,0.35823,0.146568,0.20320499999999997,0.0,0.099,0.0,0.0,0.04197500000000001,0.057025,-0.04577270000000011,0.0,-0.10769750000000011,0.0,-0.1794272,0.0,0.07901350000000001,0.005675575620227283,-0.18843595999999996,0.0,-0.011157777777777766,0.0,-0.08146330303030302,0.0,-0.10459522727272724,0.0,0.016056984848484945,0.0006806626528006125,-0.0014687878787879027,0.0,-0.14316098876404487,0.0,-0.04962326436781608,0.0,-0.0023149438202246797,0.0,0.020033735632183858,0.0017458749507040152
Jacksonville Dolphins,Queens University Royals,DraftKings,78.25,76.75,NCAAB,-125.57142857142857,104.71428571428571,1.5,-110.0,-110.0,155.0,-110.0,-110.0,78.175,76.625,JAX,QUOC,82.1027147551539,76.92056812071675,Jacksonville Dolphins,Queens University Royals,11.53892309426191,11.073317981160034,68.82539682539682,73.375,2024.0,0.5909179999999999,0.408819,0.596675,0.37889100000000003,0.615028,0.361297,0.023675,0.353388,0.22362899999999997,0.23367000000000002,0.164879,0.36714700000000006,0.232813,0.205853,0.14607799999999996,0.0,0.02411,0.0,0.0,0.013759,0.009184,0.14092779999999988,0.01805513164803634,-0.24148010000000003,0.0,0.15301749999999992,0.02128577755113636,-0.30432889999999985,0.0,0.13161316000000006,0.013794558270341211,-0.24865129467939973,0.0,0.10845921212121212,0.031055377832038773,-0.05660651515151513,0.0,-0.07045092424242427,0.0,-0.1514547121212121,0.0,0.10671366666666676,0.02767237016787006,-0.0670497491408934,0.0,-0.08290181481481484,0.0,-0.14736598625429556,0.0
James Madison Dukes,UL Monroe Warhawks,DraftKings,82.5,63.0,NCAAB,-2100.0,1100.0,19.5,-110.0,-110.0,145.5,-110.0,-110.0,82.38461538461539,62.73076923076923,JMU,ULM,83.28476830415258,52.91264071590703,James Madison Dukes,UL Monroe Warhawks,11.386628338226537,13.090614231286516,82.16388888888889,60.84615384615385,2024.0,0.730846,0.26901200000000003,0.302939,0.696919,0.956841,0.03812599999999999,0.005033000000000001,0.20411600000000002,0.52673,0.095779,0.173233,0.282497,0.674344,0.015408999999999999,0.022575,0.0,0.22599499999999997,0.0,0.0,0.07838099999999999,0.147614,0.43477659999999996,0.1718460835523273,-0.5350748,0.0,-0.4638280999999999,0.0,0.3635298999999999,0.12013998926728175,0.05050200000000116,0.00012145009542857753,-0.04931709090909092,0.0,-0.09735521212121212,0.0,-0.24672895454545452,0.0,0.34746106060606063,0.3187250580029698,-0.1399363181818182,0.0,-0.435006,0.0,-0.029528973528069373,0.0,0.3486880000000001,0.12158332134400007,-0.022035908261068004,0.0
Liberty Flames,Florida International Panthers,DraftKings,76.0,63.5,NCAAB,-800.0,550.0,12.5,-108.0,-112.0,139.5,-108.0,-112.0,75.98076923076923,63.36538461538461,LIB,FIU,88.1170276750893,52.39002132679784,Liberty Flames,Florida International Panthers,14.64153811611954,12.868881468945196,71.37037037037038,71.98692810457517,2024.0,0.8812479999999998,0.11855600000000001,0.5282169999999999,0.471587,0.9639810000000001,0.03213599999999994,0.003883000000000001,0.47447399999999995,0.406774,0.051557,0.066999,0.511397,0.452584,0.012937,0.019003,0.0,0.082733,0.0,0.0,0.036923,0.04581,0.7529958399999996,0.5250025324604677,-0.86866128,0.0,0.018691359999999824,0.0003234879061570332,-0.12023556000000002,0.0,0.6758290000000008,0.057093104655125085,-0.1438392727272728,0.0,0.2805529667896678,0.21330401104285285,-0.3063460188679245,0.0,0.1829151320754717,0.08866355568679625,-0.2946292945736434,0.0,0.09378759829059824,0.010291452903948792,-0.07274555208333333,0.0,-0.031854938053097415,0.0,-0.06781089380530972,0.0
