oddsHomeTeam,oddsAwayTeam,sport,bookie,homeScoreOddsImplied,awayScoreOddsImplied,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,homeScoreZ,awayScoreZ,ovrZ,redFlag,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
East Carolina Pirates,Temple Owls,NCAAB,FanDuel,72.0,65.5,-275.0,220.0,6.5,-110.0,-110.0,137.5,-110.0,-110.0,ECU,TEM,74.13584769624077,62.333989208340526,East Carolina Pirates,Temple Owls,11.455559088465083,12.09431102868572,68.94736842105263,68.16267942583731,2024.0,0.45292239646448734,-0.48193652401299164,0.934858920477479,False,0.624522,0.375241,0.48476299999999994,0.515,0.7510129999999999,0.23034200000000005,0.018645000000000002,0.288827,0.335695,0.186667,0.188574,0.350306,0.400707,0.115812,0.11429299999999999,0.0,0.12649100000000002,0.0,0.0,0.061479,0.065012,0.21149620000000002,0.040664220558581834,-0.3119939000000001,0.0,-0.08199770000000017,0.0,-0.01849999999999996,0.0,0.06629874999999974,0.0015983724551136371,-0.11950254545454536,0.0,0.01944328787878785,0.0009980294109387855,-0.12141368181818177,0.0,0.08406431818181825,0.018656377321227293,-0.1187843333333333,0.0,-0.05575274999999996,0.0,-0.057218919765166326,0.0,0.02614887499999996,0.0010940218620249967,-0.05903518003913895,0.0
Fairfield Stags,Quinnipiac Bobcats,NCAAB,DraftKings,79.25,77.25,-130.0,110.0,2.0,-110.0,-110.0,156.5,-105.0,-115.0,FAIR,QUIN,80.47361421630664,75.20028575365312,Fairfield Stags,Quinnipiac Bobcats,11.322075605989404,11.16176996395808,75.72222222222223,76.25925925925927,2024.0,0.41965732781107,-0.09487505198777849,0.5145323797988485,False,0.5691550000000001,0.40602499999999997,0.491849,0.5078950000000001,0.6179180000000001,0.3583319999999999,0.023749999999999997,0.275172,0.293983,0.192538,0.21348700000000004,0.29846799999999996,0.31944999999999996,0.16963100000000003,0.188445,0.0,0.024199000000000002,0.0,0.0,0.011859,0.01234,0.09522550000000013,0.008243541682045493,-0.24734750000000005,0.0,-0.041709550000000095,0.0,-0.058025749999999765,0.0,0.12121140000000019,0.01130169499227695,-0.22500254545454568,0.0,0.009667238095238118,0.00025513349422476446,-0.10323562637362638,0.0,0.01926821400778206,0.0009541486625977018,-0.092549186770428,0.0,0.01212840816326527,0.0003603907972081613,-0.09822996774193543,0.0,0.024839610389610356,0.0014252844243506453,-0.08853622866894198,0.0
Fairfield Stags,Quinnipiac Bobcats,NCAAB,BetMGM,79.5,77.0,-135.0,110.0,2.5,-105.0,-115.0,156.5,-110.0,-110.0,FAIR,QUIN,80.47361421630664,75.20028575365312,Fairfield Stags,Quinnipiac Bobcats,11.322075605989404,11.16176996395808,75.72222222222223,76.25925925925927,2024.0,0.41965732781107,-0.09487505198777849,0.5145323797988485,False,0.5691550000000001,0.430589,0.491849,0.5078950000000001,0.6179180000000001,0.3583319999999999,0.023749999999999997,0.275172,0.293983,0.203975,0.226614,0.29846799999999996,0.31944999999999996,0.16963100000000003,0.188445,0.0,0.04876300000000001,0.0,0.0,0.023296,0.025467,0.11676775000000011,0.012985435657202402,-0.22423365000000006,0.0,-0.06711710000000004,0.0,-0.03342049999999985,0.0,0.10210730000000012,0.007722889417251869,-0.22500254545454568,0.0,0.009667238095238118,0.00025513349422476446,-0.10576235408560311,0.0,0.03536871428571425,0.0034150824441128557,-0.07431440466926073,0.0,-0.003916482758620776,0.0,-0.10623909966777406,0.0,0.026109482758620628,0.0015815558086206835,-0.08117460132890367,0.0
Fairfield Stags,Quinnipiac Bobcats,NCAAB,FanDuel,79.0,77.5,-130.0,108.0,1.5,-120.0,-102.0,156.5,-110.0,-110.0,FAIR,QUIN,80.47361421630664,75.20028575365312,Fairfield Stags,Quinnipiac Bobcats,11.322075605989404,11.16176996395808,75.72222222222223,76.25925925925927,2024.0,0.41965732781107,-0.09487505198777849,0.5145323797988485,False,0.593719,0.40602499999999997,0.491849,0.5078950000000001,0.6179180000000001,0.3583319999999999,0.023749999999999997,0.286609,0.30711,0.192538,0.21348700000000004,0.29846799999999996,0.31944999999999996,0.16963100000000003,0.188445,0.0,0.024199000000000002,0.0,0.0,0.011859,0.01234,0.10618179999999999,0.009395478876033345,-0.1998295000000001,0.0,-0.06711710000000004,0.0,-0.03342049999999985,0.0,0.12121140000000019,0.01130169499227695,-0.23580503703703726,0.0,0.0012525999999999926,3.922516900000058e-06,-0.09791595683453241,0.0,0.02995399999999998,0.0022431052900000015,-0.06943134532374101,0.0,0.0037066554621847936,3.2699521422519365e-05,-0.1099545218855218,0.0,0.033504621848739424,0.0026716920508403253,-0.08480584175084174,0.0
Florida Atlantic Owls,North Texas Mean Green,NCAAB,DraftKings,70.75,61.75,-500.0,380.0,9.0,-112.0,-108.0,132.5,-110.0,-110.0,FAU,UNT,69.63060870673189,58.225041205432525,Florida Atlantic Owls,North Texas Mean Green,12.25838632593441,12.58912109741695,80.24197530864198,65.42361111111111,2024.0,-0.8656413919228662,-0.5718087744152052,1.4374501663380714,False,0.54171,0.43555,0.4081309999999999,0.5916920000000001,0.7317420000000001,0.24980399999999992,0.018454000000000005,0.211397,0.330313,0.17627199999999998,0.259278,0.28752900000000003,0.444213,0.10214800000000002,0.14747899999999997,0.0,0.167469,0.0,0.0,0.06691700000000002,0.10055200000000002,0.02842520000000004,0.0007214214241428592,-0.174056,0.0,-0.24292490000000022,0.0,0.1425532000000002,0.01847401348203642,-0.6095479999999993,0.0,0.052383999999999875,0.01042751713279995,-0.09074974329501917,0.0,-0.13108919402985075,0.0,0.07372794252873566,0.014187462819848631,-0.017110805970149245,0.0,-0.2647741007751937,0.0,-0.007882882352941156,0.0,0.013370364341085295,0.00023060896897124066,0.04300338725490192,0.015090217133623702
Florida Atlantic Owls,North Texas Mean Green,NCAAB,BetMGM,71.0,61.5,-500.0,375.0,9.5,-110.0,-110.0,132.5,-110.0,-110.0,FAU,UNT,69.63060870673189,58.225041205432525,Florida Atlantic Owls,North Texas Mean Green,12.25838632593441,12.58912109741695,80.24197530864198,65.42361111111111,2024.0,-0.8656413919228662,-0.5718087744152052,1.4374501663380714,False,0.54171,0.458113,0.4081309999999999,0.5916920000000001,0.7317420000000001,0.24980399999999992,0.018454000000000005,0.211397,0.330313,0.18548699999999999,0.27262600000000003,0.28752900000000003,0.444213,0.10214800000000002,0.14747899999999997,0.0,0.190032,0.0,0.0,0.076132,0.11390000000000002,0.03759100000000004,0.0012846211645454596,-0.1379627,0.0,-0.24292490000000022,0.0,0.1425532000000002,0.01847401348203642,-0.6095479999999993,0.0,0.049751733333333215,0.009282131136266622,-0.08731625757575756,0.0,-0.1230406515151515,0.0,0.07664368181818187,0.015508030461387292,-0.0028944545454545056,0.0,-0.2647741007751937,0.0,-0.009109992565055736,0.0,0.013370364341085295,0.00023060896897124066,0.04183823172242872,0.014126031703633305
Florida Atlantic Owls,North Texas Mean Green,NCAAB,FanDuel,71.0,61.5,-450.0,340.0,9.5,-102.0,-120.0,132.5,-115.0,-105.0,FAU,UNT,69.63060870673189,58.225041205432525,Florida Atlantic Owls,North Texas Mean Green,12.25838632593441,12.58912109741695,80.24197530864198,65.42361111111111,2024.0,-0.8656413919228662,-0.5718087744152052,1.4374501663380714,False,0.54171,0.458113,0.4081309999999999,0.5916920000000001,0.7317420000000001,0.24980399999999992,0.018454000000000005,0.211397,0.330313,0.18548699999999999,0.27262600000000003,0.28752900000000003,0.444213,0.10214800000000002,0.14747899999999997,0.0,0.190032,0.0,0.0,0.076132,0.11390000000000002,0.07425420000000005,0.005405574723176475,-0.19215139999999997,0.0,-0.27251835000000024,0.0,0.16296860000000019,0.025294061510438146,-0.47541899999999937,0.0,0.029158117647058696,0.002890665804047038,-0.08067818518518516,0.0,-0.14970353497942387,0.0,0.09697258188153315,0.026988566297531765,-0.009301906976744156,0.0,-0.2647741007751937,0.0,-0.02203623236514521,0.0,0.044366237410071896,0.002736024600478342,0.03515739262187084,0.009381560722799992
IUPUI Jaguars,Wright State Raiders,NCAAB,DraftKings,71.75,86.75,800.0,-1350.0,-15.0,-112.0,-108.0,158.5,-105.0,-115.0,IUPU,WRST,70.68144623501911,94.09277735159034,IUPUI Jaguars,Wright State Raiders,13.706502169911566,15.545775861670217,63.8125,85.16374269005848,2024.0,0.5011450879202266,0.574370474718303,1.0755155626385298,False,0.338038,0.643818,0.618517,0.38131099999999996,0.125844,0.863841,0.010314999999999998,0.191415,0.146623,0.411563,0.23225500000000002,0.06785300000000001,0.057990999999999994,0.5403490000000001,0.32332,0.20187900000000003,0.0,0.117829,0.08405,0.0,0.0,-0.40335943999999985,0.0,0.25914144,0.06217989437525334,0.21795984999999996,0.045244282106688065,-0.33018135000000015,0.0,0.01657450000000002,0.0021977124020000054,-0.9743055000000006,0.0,-0.10806092592592592,0.0,0.1983611884057971,0.10859816454149798,-0.18935219685039373,0.0,-0.06303153846153844,0.0,0.011597900422450229,0.0022288521450443076,0.12248445454545476,0.01650268576582732,-0.0015168332280480132,0.0,-0.3466601980198019,0.0
IUPUI Jaguars,Wright State Raiders,NCAAB,BetMGM,71.5,87.0,800.0,-1400.0,-15.5,-115.0,-105.0,158.5,-105.0,-115.0,IUPU,WRST,70.68144623501911,94.09277735159034,IUPUI Jaguars,Wright State Raiders,13.706502169911566,15.545775861670217,63.8125,85.16374269005848,2024.0,0.5011450879202266,0.574370474718303,1.0755155626385298,False,0.35601000000000005,0.643818,0.618517,0.38131099999999996,0.125844,0.863841,0.010314999999999998,0.202372,0.153638,0.411563,0.23225500000000002,0.06785300000000001,0.057990999999999994,0.5403490000000001,0.32332,0.219851,0.0,0.128786,0.091065,0.0,0.0,-0.38457849999999993,0.0,0.2698269,0.06933957710819998,0.21795984999999996,0.045244282106688065,-0.33018135000000015,0.0,0.01657450000000002,0.0021977124020000054,-1.0423850000000003,0.0,-0.09861969811320759,0.0,0.20215481494661924,0.11483505946914625,-0.18490680000000004,0.0,-0.05746009433962265,0.0,0.011597900422450229,0.0022288521450443076,0.11865083486238548,0.015345042468759743,-0.0015168332280480132,0.0,-0.35335999999999995,0.0
IUPUI Jaguars,Wright State Raiders,NCAAB,FanDuel,71.5,87.0,860.0,-1600.0,-15.5,-120.0,-102.0,158.5,-115.0,-105.0,IUPU,WRST,70.68144623501911,94.09277735159034,IUPUI Jaguars,Wright State Raiders,13.706502169911566,15.545775861670217,63.8125,85.16374269005848,2024.0,0.5011450879202266,0.574370474718303,1.0755155626385298,False,0.35601000000000005,0.643818,0.618517,0.38131099999999996,0.125844,0.863841,0.010314999999999998,0.202372,0.153638,0.411563,0.23225500000000002,0.06785300000000001,0.057990999999999994,0.5403490000000001,0.32332,0.219851,0.0,0.128786,0.091065,0.0,0.0,-0.41677799999999987,0.0,0.28051235999999996,0.0771442981497741,0.17981154999999993,0.028114950881219528,-0.26831245000000015,0.0,0.024197953488372115,0.00503565219601861,-1.3147030000000006,0.0,-0.12586997530864197,0.0,0.1936233703703704,0.1012230257946704,-0.17440928682170542,0.0,-0.035251968641114934,0.0,0.012859076696165206,0.00280278171644971,0.07605506060606076,0.005726528521353664,0.004890154453213065,0.0004242274516231994,-0.3090912149532709,0.0
Louisiana Ragin' Cajuns,Texas State Bobcats,NCAAB,DraftKings,76.0,67.5,-395.0,310.0,8.5,-110.0,-110.0,143.5,-112.0,-108.0,UL,TXST,78.35090489757403,62.5903359654244,Louisiana Ragin' Cajuns,Texas State Bobcats,12.550607718233277,11.866408954635794,76.38888888888889,65.55555555555556,2024.0,0.15632836693913726,-0.24988348214417028,0.40621184908330754,False,0.662632,0.33713999999999994,0.449816,0.549956,0.8113579999999999,0.1734000000000001,0.015242,0.30040399999999995,0.36222799999999994,0.140761,0.19637900000000003,0.3639280000000001,0.44743,0.070646,0.102526,0.0,0.148726,0.0,0.0,0.063524,0.085202,0.2915272,0.07726191667258182,-0.39200600000000013,0.0,-0.16639008,0.0,0.06390847999999999,0.0037817535332503767,0.06622209999999962,0.0011102193742809929,-0.09324516129032245,0.0,0.032359555555555475,0.002733037581315539,-0.1884493448275862,0.0,0.1242533731343283,0.04137625397049309,-0.10347958208955216,0.0,-0.10035813138686117,0.0,-0.0668324023668639,0.0,0.055536382978723375,0.004348848666446803,-0.027542695652173904,0.0
Louisiana Ragin' Cajuns,Texas State Bobcats,NCAAB,BetMGM,76.0,67.5,-400.0,310.0,8.5,-110.0,-110.0,143.5,-105.0,-115.0,UL,TXST,78.35090489757403,62.5903359654244,Louisiana Ragin' Cajuns,Texas State Bobcats,12.550607718233277,11.866408954635794,76.38888888888889,65.55555555555556,2024.0,0.15632836693913726,-0.24988348214417028,0.40621184908330754,False,0.662632,0.33713999999999994,0.449816,0.549956,0.8113579999999999,0.1734000000000001,0.015242,0.30040399999999995,0.36222799999999994,0.140761,0.19637900000000003,0.3639280000000001,0.44743,0.070646,0.102526,0.0,0.148726,0.0,0.0,0.063524,0.085202,0.2915272,0.07726191667258182,-0.39200600000000013,0.0,-0.12787720000000002,0.0,0.03240540000000003,0.0009131390862260867,0.05678999999999956,0.000806276024999986,-0.09324516129032245,0.0,0.04414172893772883,0.005319383797760562,-0.17397856043956042,0.0,0.11406768871595324,0.033439394655128976,-0.11631399610894938,0.0,-0.07778866666666656,0.0,-0.062118857142857156,0.0,0.035064328358208996,0.001647539545104475,-0.032027823088455754,0.0
Louisiana Ragin' Cajuns,Texas State Bobcats,NCAAB,FanDuel,76.0,67.5,-375.0,290.0,8.5,-105.0,-114.0,143.5,-110.0,-110.0,UL,TXST,78.35090489757403,62.5903359654244,Louisiana Ragin' Cajuns,Texas State Bobcats,12.550607718233277,11.866408954635794,76.38888888888889,65.55555555555556,2024.0,0.15632836693913726,-0.24988348214417028,0.40621184908330754,False,0.662632,0.33713999999999994,0.449816,0.549956,0.8113579999999999,0.1734000000000001,0.015242,0.30040399999999995,0.36222799999999994,0.140761,0.19637900000000003,0.3639280000000001,0.44743,0.070646,0.102526,0.0,0.148726,0.0,0.0,0.063524,0.085202,0.3083956,0.09057890104700948,-0.41852040000000007,0.0,-0.15538640000000004,0.0,0.0549076,0.002740767761600004,0.10395049999999961,0.0028815217200666454,-0.11163448275862053,0.0,0.04414172893772883,0.005319383797760562,-0.19227737209302323,0.0,0.12861188278388272,0.045156974753477463,-0.11510200775193791,0.0,-0.08401002816901398,0.0,-0.07343989147286821,0.0,0.058296197183098586,0.00482579418053521,-0.036617255813953475,0.0
