homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
VILL,DEP,NCAAB,under,0.598743,-110.0,"(0.15736030000000006, 0.022511149105536393)",0.15736030000000006,0.022511149105536393
DEN,NO,NBA,under,0.592381,-110.0,"(0.14400010000000008, 0.018850935272736402)",0.14400010000000008,0.018850935272736402
MRST,QUIN,NCAAB,awayCover,0.5922890000000001,-110.0,"(0.14380690000000013, 0.018800385897827298)",0.14380690000000013,0.018800385897827298
MILW,CLEV,NCAAB,over,0.588591,-110.0,"(0.13604109999999991, 0.016824709899281812)",0.13604109999999991,0.016824709899281812
AKR,BUFF,NCAAB,homeCover,0.5883120000000001,-110.0,"(0.1354552000000001, 0.01668010109730913)",0.1354552000000001,0.01668010109730913
SA,CHA,NBA,over,0.58694,-110.0,"(0.13257400000000003, 0.015978059523636366)",0.13257400000000003,0.015978059523636366
IOWA,NEB,NCAAB,awayCover,0.584507,-110.0,"(0.1274647, 0.0147702270419)",0.1274647,0.0147702270419
IOWA,NEB,NCAAB,awayWin,0.4569430000000001,164.0,"(0.1258106829268294, 0.025958457819164924)",0.1258106829268294,0.025958457819164924
KENN,FGCU,NCAAB,homeWin,0.787512,-312.77777777777777,"(0.12289675555555546, 0.004828863685070618)",0.12289675555555546,0.004828863685070618
ATL,IND,NBA,awayWin,0.44756700000000005,170.0,"(0.12260641176470594, 0.02555496474988827)",0.12260641176470594,0.02555496474988827
ATL,IND,NBA,awayCover,0.58087,-110.0,"(0.11982699999999996, 0.013053190844545455)",0.11982699999999996,0.013053190844545455
UNF,JAX,NCAAB,over,0.570599,-110.0,"(0.0982578999999999, 0.008776922647645439)",0.0982578999999999,0.008776922647645439
MILW,CLEV,NCAAB,awayCover,0.5684319999999999,-110.0,"(0.09370719999999988, 0.007982763028945431)",0.09370719999999988,0.007982763028945431
MRST,QUIN,NCAAB,awayWin,0.542255,102.0,"(0.09348539215686286, 0.008914308917656886)",0.09348539215686286,0.008914308917656886
QUOC,STET,NCAAB,homeCover,0.56774,-110.0,"(0.09225400000000006, 0.007737091378181839)",0.09225400000000006,0.007737091378181839
UTAH,TOR,NBA,under,0.5657859999999999,-110.0,"(0.0881505999999998, 0.007064116618509066)",0.0881505999999998,0.007064116618509066
RMU,PFW,NCAAB,over,0.5648770000000001,-110.0,"(0.08624170000000014, 0.006761482562627305)",0.08624170000000014,0.006761482562627305
QUOC,STET,NCAAB,homeWin,0.5424180000000001,-102.0,"(0.07568436000000012, 0.005615806224127074)",0.07568436000000012,0.005615806224127074
IU,MINN,NCAAB,awayWin,0.430037,160.0,"(0.073810125, 0.008716695284025008)",0.073810125,0.008716695284025008
DET,HOU,NBA,over,0.556989,-110.0,"(0.06967689999999988, 0.004413518539645438)",0.06967689999999988,0.004413518539645438
MILW,CLEV,NCAAB,awayWin,0.46822600000000003,130.0,"(0.05916907692307699, 0.0045512735631076965)",0.05916907692307699,0.0045512735631076965
CAN,SIE,NCAAB,over,0.550376,-110.0,"(0.05578959999999994, 0.0028295267892363613)",0.05578959999999994,0.0028295267892363613
DET,HOU,NBA,homeWin,0.329768,240.0,"(0.0505046666666667, 0.006121731252266675)",0.0505046666666667,0.006121731252266675
IOWA,NEB,NCAAB,over,0.547462,-110.0,"(0.0496702, 0.0022428443345818188)",0.0496702,0.0022428443345818188
UTAH,TOR,NBA,homeCover,0.546889,-110.0,"(0.048466899999999924, 0.0021354912687363546)",0.048466899999999924,0.0021354912687363546
IU,MINN,NCAAB,awayCover,0.553097,-115.0,"(0.0391585499999999, 0.001333384380958685)",0.0391585499999999,0.001333384380958685
MEM,LAC,NBA,homeWin,0.311784,250.0,"(0.03649760000000002, 0.0033301870144000056)",0.03649760000000002,0.0033301870144000056
UTAH,TOR,NBA,homeWin,0.589897,-135.0,"(0.03625794999999998, 0.0009738066208907372)",0.03625794999999998,0.0009738066208907372
DUQ,DAY,NCAAB,over,0.538697,-110.0,"(0.031263699999999894, 0.0008885626706272731)",0.031263699999999894,0.0008885626706272731
AKR,BUFF,NCAAB,awayWin,0.11377599999999999,950.0,"(0.02048926315789472, 0.00398819409515789)",0.02048926315789472,0.00398819409515789
MIA,ORL,NBA,homeCover,0.533421,-112.0,"(0.010852520000000143, 0.00010515820567000075)",0.010852520000000143,0.00010515820567000075
MIA,ORL,NBA,homeWin,0.598304,-148.0,"(0.003793919999999895, 9.725560112432168e-06)",0.003793919999999895,9.725560112432168e-06
NEV,BOIS,NCAAB,homeWin,0.7217040000000001,-258.0,"(0.0037003200000005343, 5.307119419536601e-06)",0.0037003200000005343,5.307119419536601e-06
NIA,FAIR,NCAAB,under,0.5224530000000001,-110.0,"(-0.0028486999999999263, 0)",-0.0028486999999999263,0.0
DUQ,DAY,NCAAB,awayCover,0.5171370000000001,-108.0,"(-0.004355039999999866, 0)",-0.004355039999999866,0.0
NIA,FAIR,NCAAB,homeWin,0.468902,110.0,"(-0.013914363636363669, 0)",-0.013914363636363669,0.0
NIA,FAIR,NCAAB,homeCover,0.516656,-110.0,"(-0.015022399999999991, 0)",-0.015022399999999991,0.0
MIN,PHI,NHL,awayWin,0.49124600000000007,100.0,"(-0.017507999999999857, 0)",-0.017507999999999857,0.0
IU,MINN,NCAAB,over,0.5156069999999999,-110.16666666666667,"(-0.01803262166666686, 0)",-0.01803262166666686,0.0
CHI,GS,NBA,awayWin,0.4221579999999999,130.0,"(-0.02233584615384626, 0)",-0.02233584615384626,0.0
MIN,POR,NBA,homeWin,0.928939,-1350.0,"(-0.03038450000000059, 0)",-0.03038450000000059,0.0
VILL,DEP,NCAAB,awayWin,0.04660400000000009,1200.0,"(-0.032845666666666565, 0)",-0.032845666666666565,0.0
DUQ,DAY,NCAAB,awayWin,0.4935400000000001,-105.0,"(-0.038242999999999805, 0)",-0.038242999999999805,0.0
DET,HOU,NBA,awayCover,0.49982,-108.0,"(-0.04037440000000009, 0)",-0.04037440000000009,0.0
DAL,NSH,NHL,over,0.5030440000000002,-110.0,"(-0.043607599999999636, 0)",-0.043607599999999636,0.0
MIN,POR,NBA,awayWin,0.06396200000000007,800.0,"(-0.053042749999999916, 0)",-0.053042749999999916,0.0
DAL,NSH,NHL,under,0.496948,-110.0,"(-0.056409200000000104, 0)",-0.056409200000000104,0.0
DET,HOU,NBA,homeCover,0.500144,-112.0,"(-0.05969471999999987, 0)",-0.05969471999999987,0.0
MEM,LAC,NBA,awayCover,0.493929,-110.0,"(-0.06274909999999995, 0)",-0.06274909999999995,0.0
CHI,GS,NBA,awayCover,0.48771,-108.0,"(-0.06556320000000004, 0)",-0.06556320000000004,0.0
IU,MINN,NCAAB,under,0.484251,-109.5,"(-0.08049415500000001, 0)",-0.08049415500000001,0.0
