,teamName,teamConference,homeDom,homeCount,homeConferenceCount,awayDom,awayCount,awayConferenceCount,conferenceGames,homeCookin,ovrDom,homeDomAdj,homeDomAdjCnt,awayDomAdj,awayDomAdjCnt,ovrDomAdj,conferenceRating,ovrRating,teamTopExpPerf,teamRegRsq,finalRating,rank
tid_228,Clemson Tigers,Atlantic Coast Conference,1.2589035499505,5,2,0.8867608239707498,4,4,6,1.05,1.123244930380309,1.1296863531760741,4,1.0042465338094064,4,1.1014256508146867,1.1740143404738164,1.121470872742349,0.8717611494416773,0.344264679408299,1.1332440594095656,27.0
tid_30,USC Trojans,Pac-12 Conference,1.1023683912379256,6,4,0.9724814441819897,4,3,7,1.05,1.0931224001079152,1.0746821118144405,6,1.0152802631510416,4,1.0863217226822692,1.3892269016339898,1.135109373266414,0.8482041523986805,0.47138781502984295,1.1290532663456818,28.0
tid_2335,Liberty Flames,Conference USA,1.292440366730989,5,4,1.3376917117310434,4,3,7,1.0,1.3682743372221302,0.9801735245845687,5,1.0117388335650026,4,1.0279619058428988,0.8134735007569761,1.0884541891636423,0.8941062374860846,0.6416495730942152,1.1244325028284978,29.0
tid_245,Texas A&M Aggies,Southeastern Conference,1.225258865964908,5,3,0.9043298882700591,4,3,6,1.05,1.1161573260287163,1.0620645224964385,5,1.0455979802192474,4,1.0906638091892142,1.188165637324941,1.115852446106709,0.8441312106116123,0.5601926682093081,1.1153718846146705,30.0
tid_150,Duke Blue Devils,Atlantic Coast Conference,1.1956383178307783,6,3,0.8077711110787863,3,2,5,1.05,1.0938292575788657,1.0941261557388933,5,0.9864177928948561,3,1.0882935022303477,1.1740143404738164,1.1049478455502617,0.8552901256646301,0.4187834400965882,1.114659184328699,31.0
tid_326,Texas State Bobcats,Sun Belt Conference,1.0886286807191228,5,3,1.1088439117780995,4,2,5,1.0,1.1443302612069597,0.9705421195898721,4,1.0062044467146023,4,1.0218952594311879,1.056700259437227,1.0680353763981945,0.8910248643885228,0.1464305644694306,1.1101942150890467,32.0
tid_152,NC State Wolfpack,Atlantic Coast Conference,1.0667180979030144,6,3,0.9305304193909839,3,2,5,1.05,1.0626661509952113,1.0551958727949058,5,0.9534010331328583,3,1.0504311904045691,1.1740143404738164,1.0751482101817535,0.8815067662597436,0.2006527419294228,1.1098464819022824,33.0
tid_2655,Tulane Green Wave,American Athletic Conference,1.2024426716610441,5,2,1.2496339984365905,4,3,5,1.0,1.2753078019583277,1.0026122540109406,4,0.9876638796994476,4,1.0290279340249264,0.7176646781921532,1.0417868362087987,0.9102586660831151,0.45048261546965895,1.1031254292903514,34.0
tid_265,Washington State Cougars,Pac-12 Conference,1.0604523533337786,5,3,0.8124629449550328,4,3,6,1.05,0.9821880899452571,1.0867567234277071,4,0.9826898681155959,4,1.0686376757296057,1.3892269016339898,1.0863814512264662,0.8387676393101713,0.22693375653249154,1.0948073883545357,35.0
tid_2641,Texas Tech Red Raiders,Big 12 Conference,1.0819746946413984,5,3,0.8312286458930919,4,3,6,1.05,1.003344185495565,1.113210965546415,4,0.9609616880011108,4,1.0695420133256084,1.2998674466859192,1.0825270677709695,0.8415955700102116,0.25152411291089205,1.0939470029425036,36.0
