ARIZ,UTAH,probability
31,23,0.002689219506674538
23,24,0.0026734017543112755
23,17,0.0026733030979521175
30,27,0.002617079016034349
27,23,0.002603155960830207
28,13,0.0025893087023929656
21,21,0.002589078034276404
30,31,0.0025823565540559557
31,30,0.0025468399979996707
35,21,0.0025025380264635496
27,30,0.0024653330476068153
20,21,0.0024493755646635995
24,42,0.0023376706874398316
30,21,0.0023059498707806167
34,13,0.002260245773650011
28,10,0.0022523671039583353
38,14,0.002250767647177737
28,35,0.002214609570123296
38,38,0.002187575505000605
38,28,0.002152648530969043
28,45,0.0021423663852941518
41,24,0.002118890459325433
41,17,0.00211881226605806
38,34,0.0021070553667139726
24,52,0.002064989262040936
31,42,0.002042250177033494
21,14,0.0020051504309085595
17,24,0.0019938835412686706
17,17,0.001993809961122907
24,16,0.0019912385539821655
27,42,0.0019768916998617802
34,10,0.0019661244805323033
21,38,0.0019488541929226465
35,14,0.0019381282200445007
34,35,0.0019331653721049362
21,28,0.0019177386590213423
20,14,0.001896955751785497
28,41,0.0018922166164701299
23,20,0.0018885963197415982
24,48,0.0018871059940351548
35,38,0.0018837136854335489
21,34,0.0018771208933149736
34,45,0.0018701032300613152
35,28,0.001853638189148443
20,38,0.001843697167888191
35,34,0.0018143780734298438
20,28,0.0018142605779475497
31,52,0.0018040285608380462
30,14,0.0017858775656182742
20,34,0.0017758344812848373
28,23,0.0017657732521562284
23,27,0.0017519693035261542
27,52,0.0017462939302640764
31,16,0.001739598015766566
30,38,0.001735737592627722
23,31,0.0017287248056885695
38,13,0.0017231376787509864
30,28,0.0017080246923485167
27,16,0.001683925366803161
28,30,0.0016722851871435968
30,34,0.0016718486751168943
34,41,0.001651743805693917
31,48,0.0016486250912527032
24,37,0.0016450544479448066
27,48,0.0015958638641498267
37,24,0.0015812203270579041
37,17,0.0015811619753940576
24,49,0.0015487101167715122
23,21,0.0015436879682752074
34,23,0.0015413695272108365
21,13,0.0015350985977583104
38,10,0.0014989091951929136
41,20,0.0014968676956107286
35,13,0.001483787882946026
26,24,0.0014834132093225802
26,17,0.0014833584670280026
38,35,0.0014737822456145403
45,24,0.0014609298469339992
45,17,0.0014608759343413815
34,30,0.0014597624157697655
20,13,0.0014522671564626735
31,37,0.0014371625377329754
38,45,0.0014257057247667076
33,24,0.0014154000696882574
33,17,0.0014153478372778455
17,20,0.0014085578839621374
27,37,0.0013911687824277837
41,27,0.0013885795639529464
24,59,0.0013710260149087375
41,31,0.0013701563903239017
30,13,0.0013672281662710111
31,49,0.0013529936133194515
28,42,0.001340965558172823
42,24,0.0013364921360839576
42,17,0.001336442815607536
21,10,0.0013353392663176724
21,35,0.0013129543196361837
27,49,0.001309693530310981
17,27,0.001306658362692914
35,10,0.0012907055129081349
17,31,0.0012893220900624819
21,45,0.0012701241960490185
35,35,0.0012690687837137442
20,10,0.0012632865159540989
38,41,0.0012592356196018952
20,35,0.0012421094248459665
35,45,0.0012276702582401887
41,21,0.0012234994994220212
24,26,0.001220711123402855
20,45,0.001201590345560956
31,59,0.0011977641404792446
23,14,0.0011955323685871341
30,10,0.0011893134806476016
