CLEM,UNC,probability
20,38,0.00286931396642123
14,24,0.002859020797875761
41,27,0.0028249003087586965
7,34,0.002773976655484029
49,31,0.002749496496046696
35,34,0.0026769915157666972
14,38,0.0026624752416316553
38,30,0.002653417576011334
7,28,0.0025985391115842743
17,33,0.0025765470487413866
27,24,0.0025496400266380617
31,24,0.002544023611422714
41,34,0.0025343682449895026
35,28,0.0025076877057875744
38,35,0.0024579406798190717
13,24,0.0024508254000441144
21,24,0.002440375968498327
34,30,0.002407359177916443
27,38,0.0023743630864947285
41,28,0.00237408450959487
31,38,0.0023691327760091605
28,30,0.0023583189541513663
23,27,0.0023398268538234145
13,38,0.0022823415464580357
52,27,0.0022778572856853516
21,38,0.002272610469020455
37,31,0.002271648584744986
34,35,0.002230009368985708
28,35,0.0021845819315445174
30,27,0.0021449108306175395
23,34,0.0020991830609801165
56,31,0.002060014299836011
17,32,0.002057884781590257
52,34,0.002043586866962979
42,27,0.00204288375575244
24,33,0.0020409943985486476
16,27,0.002012069871151928
45,30,0.0019908186443553405
55,31,0.0019771159203369124
23,28,0.0019664222031386285
66,31,0.0019450445730214813
30,34,0.0019243135343915223
52,28,0.0019143421381088274
48,27,0.0018862954279663987
38,24,0.001870430440175215
17,29,0.0018684150200836084
45,35,0.0018441553174072841
42,34,0.001832779621543144
59,27,0.0018159067626311795
16,34,0.0018051348475331811
30,28,0.0018026121352469797
10,33,0.0017912342640709177
17,37,0.0017791471208517854
7,30,0.0017678047897521992
38,38,0.001741846278929068
42,28,0.0017168671986042617
35,30,0.0017059979269625882
34,24,0.0016969805007392709
48,34,0.0016922959081014713
16,28,0.0016909707923191616
28,24,0.001662411374434964
7,35,0.0016375708618176317
24,32,0.0016301395754197224
59,34,0.0016291464944107768
41,30,0.001615106714626104
49,27,0.0015857967388970948
48,28,0.001585268245456227
20,33,0.0015808123473269218
34,38,0.0015803202873189925
35,35,0.0015803173018367161
26,31,0.0015557875473782366
28,38,0.001548127641858547
59,28,0.001526112657025274
63,31,0.0015225775610309606
41,35,0.0014961220322117427
73,31,0.0014807668079625717
24,29,0.0014800523794112814
33,31,0.001467611660049935
14,33,0.0014668571601709711
19,31,0.0014530616406326121
10,32,0.001430656480383391
49,34,0.0014227025589567486
24,37,0.0014093394140139075
45,24,0.0014033553659006436
44,31,0.001365013295728841
23,30,0.0013377711245085486
49,28,0.0013327250740526025
37,27,0.0013101936746558484
27,33,0.0013081254014351057
45,38,0.0013068806353901039
31,33,0.0013052438278280698
52,30,0.001302340682842363
10,29,0.0012989357229526894
6,31,0.0012634190656314675
20,32,0.0012625927687612616
13,33,0.0012574272943570994
21,33,0.0012520660799531878
17,26,0.0012513495674060713
7,24,0.0012461498412211977
23,35,0.001239217715652465
10,37,0.0012368760295875787
30,30,0.0012263299607648418
22,31,0.001222607968884713
52,35,0.0012063974295947449
35,24,0.001202581335977782
56,27,0.001188131704644241
37,34,0.0011754443983522283
14,32,0.001171576908776848
42,30,0.0011679970655552791
7,38,0.0011604823239060728
81,31,0.0011557353354335503
16,30,0.0011503795546761537
20,29,0.0011463456625494391
55,27,0.0011403193215193518
41,24,0.0011385108738554406
30,35,0.0011359864066235292
66,27,0.001121821884603912
35,38,0.0011199089686469291
62,31,0.0011169531421823978
37,28,0.001101104523202249
20,37,0.0010915763163445893
42,35,0.001081950887524143
48,30,0.0010784693541329813
32,31,0.0010752531707960231
29,31,0.0010749165876621715
56,34,0.001065936115968199
16,35,0.001065631256170811
