ND, WAKE, probability
34,31,0.0017242224479055506
35,21,0.0017179470245381689
49,3,0.0017063981212021967
33,3,0.0015732294182098743
41,21,0.0015176836525105113
48,6,0.0015159767297040067
31,28,0.0014987451913633116
45,21,0.0014924700026546197
42,24,0.001469546066466693
31,38,0.0014644060333183226
31,16,0.0014634044779454356
52,17,0.0014623787706394553
48,14,0.0014406376289170715
48,13,0.0014376188602603817
23,7,0.0014219997893586316
23,10,0.0014110340254691496
42,20,0.001410918757519868
20,7,0.0014028638009812944
27,27,0.0013956848124609005
39,7,0.0013937909064685732
20,10,0.0013920456044345844
29,7,0.0013885660442705524
35,27,0.0013861441034656225
38,28,0.0013854971763124265
39,10,0.001383042675627741
29,10,0.0013778581050005398
31,34,0.0013717506468314301
49,17,0.0013688447499577991
24,21,0.0013540634117003092
38,38,0.0013537527498532493
38,16,0.0013528268738944459
28,21,0.001334950565048997
27,31,0.0012681195576173083
38,34,0.0012680985792260509
30,24,0.0012642176100945172
33,17,0.0012620189877369029
35,31,0.0012594508671204083
44,3,0.0012561212920309231
52,6,0.0012447902559682505
41,27,0.0012245594397296117
36,7,0.001217929788317031
30,20,0.0012137818475864163
26,7,0.0012086573706293557
36,10,0.0012085377120364326
45,27,0.0012042155341403307
31,9,0.0012037876995783167
34,28,0.0012031722199860007
26,10,0.0011993367986793545
52,14,0.0011829282387516027
52,13,0.0011804494844704578
34,38,0.0011756052117610355
34,16,0.0011748011767533642
49,6,0.0011651732375297602
55,7,0.001129988079412377
55,10,0.0011212741663938989
38,9,0.0011128272292425234
41,31,0.0011126350026320986
59,7,0.0011088757842519143
49,14,0.0011072679265467652
49,13,0.0011049477138547438
34,34,0.0011012227298718433
59,10,0.001100324678883358
45,31,0.001094150525101245
24,27,0.0010925406820105506
31,45,0.0010922113414611936
32,3,0.0010841624310790755
37,24,0.0010791030909624217
28,27,0.0010771192753503067
33,6,0.001074242166477076
42,21,0.0010489174072964764
56,7,0.0010475627029460728
56,10,0.0010394844139435722
37,20,0.0010360524430494652
33,14,0.0010208558332544058
40,3,0.001019316821560337
33,13,0.0010187166918557851
31,23,0.0010175619833106791
21,3,0.0010142755130904007
38,45,0.0010096817913086216
44,17,0.0010076400193732955
24,31,0.0009926827274900542
28,31,0.0009786708336747571
34,9,0.0009663843642267177
31,35,0.0009619764624644862
38,23,0.0009406730795362138
30,21,0.0009023601832552307
48,24,0.0008935837609926024
38,35,0.0008892877055446538
27,28,0.0008849010318822042
31,41,0.0008833516595829157
35,28,0.0008788519704039732
34,45,0.0008768123841013854
32,17,0.000869697424911913
27,38,0.0008646262336289162
27,16,0.0008640348873560059
35,38,0.0008587157678768445
35,16,0.000858128463965544
48,20,0.0008579343775394253
44,6,0.0008577124496214264
