DET,GB,probability
28,56,0.000120769
33,32,0.000120133
19,24,0.000120059
24,47,0.000120048
48,41,0.000119764
22,28,0.000119134
25,51,0.000118881
51,21,0.000118646
48,22,0.000118582
48,37,0.000118367
42,33,0.000117998
38,70,0.000117549
35,40,0.000117338
32,33,0.000117241
40,15,0.00011714
39,9,0.000117091
30,43,0.000116114
49,20,0.000115769
45,29,0.0001156
51,6,0.00011553
29,18,0.000115341
39,7,0.000115043
40,48,0.000114883
44,41,0.00011483
21,41,0.000113757
44,22,0.000113697
44,37,0.000113491
37,70,0.000113369
23,36,0.000113308
45,35,0.000112996
21,22,0.000112635
21,37,0.00011243
54,16,0.000112299
20,29,0.000112103
42,51,0.000111801
27,50,0.000111623
31,50,0.000111382
32,51,0.000111084
27,3,0.000110577
31,3,0.000110338
47,27,0.000109796
45,11,0.000109733
20,35,0.000109578
34,50,0.000109337
35,36,0.00010925
40,33,0.000108493
34,3,0.000108313
26,44,0.000108058
36,29,0.000107979
28,70,0.000107416
54,24,0.000107139
17,16,0.000107132
19,27,0.000106959
20,11,0.000106413
43,23,0.000105908
48,26,0.000105711
36,35,0.000105547
24,39,0.000105424
51,30,0.00010514
22,38,0.000105093
45,54,0.000103455
40,51,0.000102796
36,11,0.000102499
51,19,0.00010226
29,44,0.000102217
17,24,0.000102209
44,26,0.000101356
38,47,0.000101253
26,40,0.000100431
21,26,0.000100409
25,29,0.000100401
20,54,0.000100326
45,42,9.94E-05
24,49,9.92E-05
25,35,9.81E-05
51,9,9.81E-05
37,47,9.77E-05
36,54,9.66E-05
20,42,9.64E-05
51,7,9.64E-05
23,32,9.61E-05
22,41,9.60E-05
27,8,9.57E-05
31,8,9.55E-05
54,27,9.54E-05
25,11,9.53E-05
22,22,9.51E-05
48,45,9.50E-05
29,40,9.50E-05
22,37,9.49E-05
42,29,9.44E-05
32,29,9.38E-05
34,8,9.38E-05
26,36,9.35E-05
39,28,9.31E-05
36,42,9.29E-05
35,32,9.27E-05
28,47,9.25E-05
42,35,9.23E-05
32,35,9.17E-05
