CAL,STAN,probability
34,6,0.0019068721599932816
38,3,0.0019030580439310405
38,34,0.001877068412084743
56,17,0.0018672937722704632
45,38,0.0018667760680468035
38,28,0.0018609548173576793
55,17,0.001853827340183728
41,6,0.0018505929895978825
49,24,0.0018474871684093167
30,7,0.0018336067135275498
59,14,0.0017951405817076922
24,14,0.001773064661592421
28,14,0.0017339274748935565
30,17,0.001733337093062449
59,13,0.0016960815795881796
38,45,0.0016871377783131533
45,3,0.0016850758288907855
27,20,0.001683790356446318
24,13,0.0016752238474186173
45,34,0.001662063130688737
35,21,0.0016567919347744468
52,21,0.001653530766704729
45,28,0.0016477952374535788
28,13,0.0016382463192443607
31,38,0.0016249804940939472
66,10,0.0016056158834780625
49,20,0.0015903832780462038
44,7,0.001585198706166982
59,24,0.0015804206179814114
24,24,0.001560985238008053
42,21,0.0015504580353800977
35,27,0.0015445242286147715
52,27,0.0015414840441525326
28,24,0.0015265293199485139
35,31,0.0015076477051542457
52,31,0.0015046801070791732
44,17,0.0014985131200723801
45,45,0.0014938877452058488
34,38,0.0014742840946733394
63,10,0.001467824751473893
31,3,0.0014668151150457455
48,21,0.0014664996088031253
35,6,0.00146304406676024
52,6,0.001460164264840056
31,34,0.0014467831538829232
42,27,0.0014453957378909098
31,28,0.0014343633202479197
41,38,0.0014307722706947252
37,14,0.001426012869602027
42,31,0.0014108859718085208
33,10,0.0013868782803776356
42,6,0.0013691450216604328
48,27,0.0013671265108849478
59,20,0.0013604828039380547
37,13,0.0013473229812936802
24,20,0.0013437521311406265
48,31,0.0013344854736528089
38,35,0.0013343404065352142
34,3,0.001330786555160559
40,10,0.0013235139869675512
56,14,0.0013187292522383576
28,20,0.0013140912399319466
38,41,0.001313955943840478
34,34,0.00131261230517122
55,14,0.0013092189233443316
34,28,0.0013013442541065308
31,45,0.0013003908116657034
48,6,0.0012950048262141728
38,16,0.001292659733171575
41,3,0.001291509898408671
27,21,0.0012900810879261223
41,34,0.0012738720408075675
41,28,0.0012629365534979106
37,24,0.0012554449292667476
56,13,0.0012459594618811735
55,13,0.0012369739295962096
30,14,0.0012241257174182719
49,21,0.001218514752567875
