BYU,OU,probability
31,66,0.0004989044524869573
45,56,0.0004975060440558118
30,38,0.0004960197180330175
59,59,0.0004957785375181529
49,52,0.0004884367418938803
45,55,0.00048605655605498505
63,45,0.0004830851425990982
7,32,0.0004817847274151073
66,38,0.00047858017029012753
59,49,0.0004739889837825676
73,52,0.00047301942389738706
27,63,0.00047267495891466677
41,42,0.0004685610721170039
23,59,0.0004670494683254727
35,42,0.0004647116549614696
52,42,0.00046390621066186576
9,42,0.0004601176885356216
34,34,0.00045972760887593535
28,34,0.0004577927290799568
81,52,0.00045752560822042077
31,63,0.00045652765104816083
3,32,0.0004550752877638652
17,39,0.00045353617943870537
17,47,0.00045269675083001713
49,38,0.0004520763059148133
17,27,0.00045172237202616155
14,69,0.00045122682760275195
13,69,0.0004495816310040748
27,44,0.00044814113806870327
48,41,0.0004478358760300826
38,35,0.00044722856476524085
48,48,0.0004468175898942458
23,49,0.0004465225622230039
6,39,0.00044612605442089577
24,51,0.00044605118746666604
6,47,0.0004453003408612288
6,27,0.0004443418819973441
16,56,0.00044048488640434467
77,45,0.0004402680489796614
10,32,0.0004384103851411033
73,38,0.0004378066911025785
42,41,0.00043599864667574485
59,42,0.0004353459912913116
7,24,0.00043504672137296497
42,48,0.0004350072759506275
45,34,0.00043414538765904233
31,44,0.0004328319434782869
37,45,0.0004304511810375684
16,55,0.0004303476700193587
12,45,0.0004301255869835993
56,52,0.0004272802740406575
17,28,0.00042523364641690466
81,38,0.0004234662732859153
21,37,0.0004216349816628447
30,41,0.0004215132295334373
30,48,0.0004205547956502241
17,30,0.000419080009374509
6,28,0.0004182859438419348
24,73,0.00041446570522467546
21,62,0.00041359995001110744
6,30,0.00041223284832602727
17,54,0.0004116230536280761
3,24,0.00041092836832278576
23,42,0.0004101188300487657
66,41,0.0004066932539892014
20,51,0.00040629676398327123
66,48,0.0004057685176644864
6,54,0.0004048977284481281
48,59,0.0004022572038393049
55,52,0.00040061975874095066
17,43,0.00039600605555352355
10,24,0.00039588013031214897
56,38,0.0003954724763939584
34,35,0.000393543990422065
38,31,0.00039262253679710977
28,35,0.0003918876611061941
42,59,0.00039162471315211264
7,60,0.00039058655086808157
6,43,0.00038953588952819583
48,49,0.00038457792913237617
16,34,0.00038438624826939817
49,41,0.00038417050124006316
49,48,0.0003832969769956948
70,45,0.0003830567063726654
38,66,0.0003794274576074194
30,59,0.0003786135550292668
41,56,0.00037837779751443177
20,73,0.00037752634573451165
35,56,0.0003752692721338563
63,52,0.0003748758138215175
52,56,0.00037461885053837954
42,49,0.0003744127382769423
73,41,0.00037204430704851913
45,35,0.00037164465432134143
9,56,0.0003715594998085242
73,48,0.00037119835526113024
55,38,0.00037079663562132587
27,37,0.00037005389945622035
41,55,0.00036966989917996496
19,45,0.00036935331906484475
3,60,0.0003689330045529671
35,55,0.0003666329126770985
52,55,0.0003659974597324388
66,59,0.0003653018883172619
9,55,0.00036300851618635603
27,62,0.0003630018403902172
17,77,0.00036300133093867225
30,49,0.0003619734228371202
14,39,0.00036016077142119986
81,41,0.0003598579450814366
14,47,0.0003594941669275245
81,48,0.00035903970256010153
13,39,0.0003588476064233049
14,27,0.0003587203961953033
24,40,0.00035842058179797885
13,47,0.00035818343240445635
13,27,0.00035741248288076916
31,37,0.00035741228574467324
6,77,0.00035707041436391115
10,60,0.00035542264097025277
17,33,0.00035350720125432026
17,50,0.00035347265365241374
48,42,0.0003532243691631797
59,56,0.0003515555754499599
17,58,0.00035106941047633437
31,62,0.0003506011359265241
66,49,0.00034924680621337335
6,33,0.00034773140502295365
6,50,0.0003476974218788805
24,70,0.00034755111148252897
38,63,0.0003471989979268009
63,38,0.00034696913346879464
62,45,0.00034556669048222907
34,31,0.0003454927793842422
6,58,0.0003453334442194022
49,59,0.0003450713975759981
28,31,0.0003440386857305642
42,42,0.0003438879178087443
59,55,0.00034346495747490164
77,52,0.0003416495946716172
14,28,0.0003376852499778585
13,28,0.00033645403190592216
56,41,0.00033606906067655014
56,48,0.00033530490915701527
